ܐܦܪܝܩܐ	アフリカ
ܒܢܣܢܬ ܦܢ ܟܘܟ	フィンセント・ファン・ゴッホ
ܦܪܝܕܐ ܩܐܠܘ	フリーダ・カーロ
ܗܢܪܝ ܡܐܛܝܣ	アンリ・マティス
ܡܝܟܠܐܢܓܠܘ	ミケランジェロ・ブオナローティ
ܦܒܠܘ ܦܝܩܐܣܘ	パブロ・ピカソ
ܪܡܒܪܢܛ	レンブラント・ファン・レイン
ܐܢܕܝ ܘܘܪܗܘܠ	アンディ・ウォーホル
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	ニネヴェ (メソポタミア)
ܒܒܠ	バビロン
ܐܝܪܝܚܘ	エリコ
ܩܛܠܘܢܝܐ	カタルーニャ州
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	マドリード州
ܒܝܬ ܠܚܡ	ベツレヘム
ܣܕܪܐ:Candidates for speedy deletion	Category:即時削除対象のページ
ܪܫܡܠܘܬܐ	資本主義
ܐܘܡܬܐ	国民
ܩܪܬܐܓܘ	カルタゴ
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Category:天文学
ܨܚܪܐܐ	サハラ砂漠
ܫܐܕܐ	悪魔
ܒܝܬ ܟܬܒܐ	図書館
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	政府
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	始皇帝
ܡܕܢܚܐ ܡܨܥܝܬܐ	中東
ܡܠܟܘܬܐ	君主制
ܩܘܛܢܝܘܬܐ	共和制
ܐܬܪܐ	国家
ܓܒܐ	政党
ܝܗܘܕܝܐ	ユダヤ人
ܝܡܡܬܐ ܪܘܪܒܬܐ	五大湖
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	南極海
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	耳
ܢܚܝܪܐ	鼻
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	目
ܥܘܩܒܪܬܐ	筋肉
ܙܡܝܪܬܐ	歌
ܓܡܠܐ	ラクダ
ܫܘܫܡܢܐ	アリ
ܕܒܫܬܐ	ハナバチ
ܠܫܢܐ ܗܘܠܢܕܝܐ	オランダ語
ܐܡܐ (ܒܝܬܝܘܬܐ)	母親
ܐܒܐ (ܒܝܬܝܘܬܐ)	父親
1847	1847年
ܨܦܪܐ (ܙܒܢܐ)	朝
ܪܡܫܐ	夕
ܩܛܝܢܬܐ	分
ܠܫܢܐ ܪܘܣܝܐ	ロシア語
ܩܢܘܢܐ	法 (法学)
ܠܫܢܐ ܨܝܢܝܐ	中国語
ܕܡܐ	血液
ܬܓܪܘܡܬܐ	骨格
ܪܐܬܐ	肺
ܠܫܢܐ ܪܘܡܢܝܐ	ルーマニア語
ܡܛܪܐ	雨
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	ネルソン・マンデラ
ܐܒܢܐ	岩石
ܥܢܢܐ	雲
ܩܢܘܢܐ ܕܠܥܙܐ	文法
ܠܫܢܐ ܓܘܪܓܝܐ	グルジア語
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	経済学
ܙܘܙܐ	通貨
ܡܕܐܬܐ	租税
ܐܠܦܒܝܬ ܥܪܒܝܐ	アラビア文字
ܐܠܦܒܝܬ ܝܘܢܝܐ	ギリシア文字
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	ラテン文字
ܣܕܪܐ:ܦܪܢܣܐ	Category:フランス
ܟܢܫܐ	社会
ܓܒܪܐ	男性
ܙܘܘܓܐ	結婚
ܙܕܩܐ ܕܒܪܢܫܐ	人権
ܩܪܒܐ ܓܘܝܐ	内戦
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	胸骨
ܬܪܝܢܐ	ジュース
ܚܠܒܐ (ܕܝܘܒܐ)	乳
ܛܘܪܐ	山
ܡܕܒܪܐ	砂漠
ܠܫܢܐ ܐܠܒܢܝܐ	アルバニア語
ܠܫܢܐ ܐܪܡܢܝܐ	アルメニア語
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	ヨハネス・グーテンベルク
ܠܫܢܐ ܣܘܝܕܝܐ	スウェーデン語
ܢܝܩܘܠܐ ܛܣܠܐ	ニコラ・テスラ
ܡܘܫܐ	モーセ
ܬܕܐ	乳房
ܢܘܗܪܐ (ܚܙܝܬܐ)	光
ܠܫܢܐ ܝܘܢܝܐ	ギリシア語
ܠܫܢܐ ܦܪܣܝܐ	ペルシア語
ܬܘܕܝܬܐ	宗教
ܐܒܪܗܡ	アブラハム
ܣܦܪܐ ܕܒܪܝܬܐ	創世記
ܠܫܢܐ ܩܢܛܘܢܝܐ	広東語
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	官話
ܦܘܠܘܣ ܫܠܝܚܐ	パウロ
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	ジークムント・フロイト
ܙܠܛܐ	サラダ
ܝܗܘܕܝܘܬܐ	ユダヤ教
ܠܫܢܐ ܥܒܪܝܐ	ヘブライ語
ܟܒܕܐ	肝臓
ܛܚܠܐ	脾臓
ܟܘܠܝܬܐ	腎臓
ܫܠܦܘܚܬܐ	膀胱
ܐܫܟܐ	精巣
ܐܘܩܝܢܘܣ	大洋
ܒܘܕܗܐ	釈迦
ܡܘܚܡܕ	ムハンマド・イブン＝アブドゥッラーフ
ܟܪܣܐ	腹
ܚܒܠܐ ܟܘܒܝܐ	脊髄
ܘܪܝܕܐ	静脈
ܡܪܒܥܐ	子宮
ܠܫܢܐ (ܗܕܡܐ)	舌
ܓܝܕܐ	神経
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	首
ܦܘܡܐ	口
ܓܓܪܬܐ	喉頭
ܡܥܝܐ	腸
ܫܪܝܬܐ	関節
ܚܕܝܐ	胸
ܬܝܪܬܐ	腺
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	横隔膜
ܫܪܝܢܐ	動脈
A	A
B	B
ܢܘܛܦܬܐ	精液
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	アルファベット
T	T
C	C
R	R
D	D
Α	Α
Ω	Ω
I	I
Μ	Μ
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	ハールレム
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	エンスヘーデ
ܗܢܓܠܘ	ヘンゲロー
Φ	Φ
ܝܘܢܐ	ハト科
ܐܝܠܢܐ	木
Λ	Λ
ܓܒܬܐ	チーズ
ܥܢܒܬܐ	ブドウ
ܕܒܫܐ	蜂蜜
ܒܣܪܐ	食肉
ܫܟܪ	砂糖
ܣܦܪܙܒܢܐ	新聞
ܙܥܘܩܐ	電話機
ܡܪܕܘܬܐ	文化
ܡܥܝܐ ܥܒܝܐ	大腸
ܡܥܝܐ ܩܛܝܢܐ	小腸
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	ユリウス暦
ܐܣܝܘܬܐ	医学
ܡܠܚܐ (ܐܨܪܐ)	塩
ܣܕܪܐ:ܒܪܐܙܝܠ	Category:ブラジル
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	角度
ܬܘܩܦܐ	エネルギー
ܣܦܝܢܬܐ	船
ܩܠܐ (ܨܘܬܐ)	音
ܙܓܘܓܝܬܐ	ガラス
ܫܛܝܚܘܬܐ	面積
ܡܢܝܢܐ	数
ܪܦܦܐ	秒
ܣܥܪܬܐ	オオムギ
ܘܘܗܐܢ	武漢市
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	国の一覧
ܒܝܬ ܢܗܪܝܢ	メソポタミア
ܕܒܐ	クマ
ܬܠܗܝܐ	悪性腫瘍
ܡܠܟܐ	王
ܚܛܬܐ	コムギ
ܣܘܪܓܕܐ	暦
ܟܘܪܗܢܐ	病気
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	グレゴリオ暦
ܟܦܣܐ	月経
ܥܡܐ ܩܪܕܘܝܐ	クルド人
ܓܫܪܐ	橋
ܡܓܕܠܐ (ܒܢܝܢܐ)	塔
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	ラテンアメリカ
ܟܗܪܒܐ	電気
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	内燃機関
