አፍሪቃ	アフリカ
ጢያ	ティヤ
የቡልጋሪያ ሰንደቅ ዓላማ	ブルガリアの国旗
አተሚክ ሰዓት	原子時計
ካም	ハム (聖書)
ሊቨርፑል	リヴァプール (曖昧さ回避)
ሀሪንግተን	ハリントン
ሽፈራው	ワサビノキ
ሀዲስ	ハディース
ጋሪ	荷車
አላህ	アッラーフ
መልአክ	天使
ቬርኖን፣ ዑር	ヴェルノン
ፉሢ	伏羲
ፒኮ ደ ኦሪዛባ	オリサバ山
ቪዲዮ ኮንፈረስ	ビデオ会議
ኤድፉ	エドフ
መና	マナ (食物)
ሶማሌ (ብሔር)	ソマリ族
የኩሽ መንግሥት	クシュ
የቴቭኒን እርግጥ	テブナンの定理
ካረንታን	カランタン
የውጭ ስብስብ	差集合
ኩሜ (ጣልያን)	クーマエ
ሳን ሆዜ ቺናንተኪያ	サンホセ・チナンテキリア
ላርሳ	ラルサ
ቱዴላ	トゥデラ
ዳግማዊ ምኒልክ	メネリク2世
የፈረንሳይ እግር ኳስ ፌዴሬሽን	フランスサッカー連盟
ድጂታል ክፍተት	情報格差
የወርቃማ ጎል	ゴールデンゴール
የብራዚል እግር ኳስ ኮንፌዴሬሽን	ブラジルサッカー連盟
ቅብብል	写像の合成
ማሪ	マリ (シリア)
ሃሰኩራ ጹነናጋ	支倉常長
አንድምታ	聖書釈義
ማሩን	マルーン (色)
የኢትዮጵያ አየር መንገድ	エチオピア航空
ድንቅ ነሽ	ルーシー (アウストラロピテクス)
አልቫሮ ፈርናንዴዝ	アルバロ・フェルナンデス
የሰማያዊ ተራሮች ከተማ	シティ・オブ・ブルー・マウンテンズ
ማይል	マイル
የዓለም አቀፍ እግር ኳስ ማኅበር	国際サッカー連盟
1 ሻምሺ-አዳድ	シャムシ・アダド1世
አዮሊስ	アイオリス
አጋዘን	マウンテンニアラ
ዲዬጎ ፎርላን	ディエゴ・フォルラン
ዓፄ ቴዎድሮስ	テオドロス2世 (エチオピア皇帝)
አጥንት	骨
አጣብቂ	ファスナー
ታላቅ የአናባቢ መፈራረቅ	大母音推移
ሊኩርጉስ (የጥራክያ ንጉሥ)	トラキアのリュクルゴス
ብሮክን ሂል (ከተማ)	ブロークンヒル
ሻርል ለ ብረን	シャルル・ルブラン
ሳላ (እንስሳ)	トムソンガゼル
አንታዮስ	アンタイオス
አሰልበርህት	エゼルベルト (ケント王)
ዳቢሎስ (ኢስላም)	イブリース
አሌክሳንድረ ሚየራን	アレクサンドル・ミルラン
ራንጎ (ፊልም)	ランゴ
ራስ ዳሸን	ラス・ダシャン山
ኩርባ	傾き (数学)
ምጽዋ	マッサワ
የኅሊና ነፃነት	思想・良心の自由
ፑንት	プント国
ማኑስ	マンヌス
ማውሪሺዮ ቪክቶሪኖ	マウリシオ・ビクトリーノ
ያዕቆብ	ヤコブ (旧約聖書)
ኦስካር ፔሬዝ ሮሃስ	オスカル・ペレス・ロハス
አሌክስ ሄሊይ	アレックス・ヘイリー
ዡል ግሬቪ	ジュール・グレヴィ
2 ሓኖ	航海者ハンノ
ኡር-ናሙ	ウル・ナンム
ናራም-ሲን (አካድ)	ナラム・シン
ዊሎው ስሚዝ	ウィロー・スミス
አራም	アラム
አማ አታ አዪዶ	アマ・アタ・アイドゥ
ላውሬል ሃሚልተን	ローレル・K・ハミルトン
መርሴደስ ላኪ	マーセデス・ラッキー
ሌይ ብራኬት	リイ・ブラケット
አና ናጋታ	永田杏奈
ንጉጊ ዋ ቲዮንጎ	グギ・ワ・ジオンゴ
ሺካጎ ፋየር እግር ኳስ ክለብ	シカゴ・ファイアー
የፖርቱጋል እግር ኳስ ፌዴሬሽን	ポルトガルサッカー連盟
ዲዬጎ ፔሬዝ	ディエゴ・ペレス
ጌራርዶ ቶራዶ	ヘラルド・トラード
ሰባስቲያን ኤጉሬን	セバスティアン・エグレン
ኒኮላስ ሎዴሮ	ニコラス・ロデイロ
ሲቦኒሶ ጋክሳ	シボニソ・ガクサ
ጉዴአ	グデア
አኪቫ በን ዮሴፍ	アキバ・ベン・ヨセフ
1 አንተፍ	アンテフ1世
ሰባስቲያን ኮአቴስ	セバスティアン・コアテス
እንዳሁላ	カランコエ
ኮባ	エンセーテ属
ሸንኖንግ	神農
ሹን	舜
ሪሙሽ	リムシュ
2 አንተፍ	アンテフ2世
ሙሳ ዳዲ ካማራ	ムサ・ダディス・カマラ
ክርስቲያን ሮድሪጌዝ	クリスティアン・ロドリゲス
ኢግናሲዮ ማሪያ ጎንዛሌዝ	イグナシオ・ゴンサレス
ብሩስ ጎልዲንግ	ブルース・ゴールディング
ሪካርዶ ኦሶሪዮ	リカルド・オソリオ
ኤጊዲዮ አሪቫሎ	エヒディオ・アレバロ・リオス
ጋን ዪንግ	甘英
ሰባስቲያን ፈርናንዴዝ	セバスティアン・フェルナンデス
ጆን ባርት	ジョン・バース
ሴፖ ማሲሌላ	ツェポ・マシレラ
አንድሬስ ስኮቲ	アンドレス・スコッティ
ፖል ኒኮላስ አጊላር	パウル・アギラール
ኡሩካጊና	ウルイニムギナ
ኤፍሬይን ሁዋሬዝ	エフライン・フアレス
ቴኮ ሞዲሴ	テコ・モディセ
ሹልጊ	シュルギ
ሉጋል-ዛገ-ሲ	ルガルザゲシ
3 አንተፍ	アンテフ3世
የኢትዮጵያ ሶማሊያ ጦርነት	オガデン戦争
ሮስ ማክዶናልድ	ロス・マクドナルド
ሮዛሪዮ ሴንትራል	ロサリオ・セントラル
አቤል ሄርናንዴዝ	アベル・エルナンデス
ኦሮሞ	オロモ人
ምጊሞ	モスクワ国際関係大学
አር ኤል ሲ ዑደት	RLC回路
ሽኮኮ	ケープハイラックス
ማርቲን ሲልቫ	マルティン・シルバ
አልበሪ	オルベリー (ニューサウスウェールズ州)
ማሽላ	モロコシ
አኒታ	アニッタ
ዠንጊሽ ቾኩሱ	ポベーダ山
ሚስኪቶ	ミスキート族
ሬኒልዌ ሌትሾሎኒያኔ	レニールウェ・レツホロニャネ
ኤታና	エタナ
ግራኝ አህመድ	アフマド・イブン・イブリヒム・アル＝ガジー
ሉካስ ትዋላ	ルーカス・トゥワラ
አቡጊዳ	アブギダ
ፌርፋክስ ካውንቲ	フェアファックス郡 (バージニア州)
ሻርካሊሻሪ	シャル・カリ・シャッリ
ኋን ጊሌርሞ ካስቲዮ	フアン・カスティージョ
ኤንመርካር	エンメルカル
በርናርድ ምላሙድ	バーナード・マラマッド
አጋ	アッガ
አማር-ሲን	アマル・シン
ኤአናቱም	エアンナトゥム
ኢቢ-ሲን	イビ・シン
አዲስ አበባ ስታዲየም	アディスアベバ・スタジアム
ሻርለት ማክላውድ	シャーロット・マクラウド
ነጋሶ ጊዳዳ	ネガソ・ギダダ
ሹ-ሲን	シュ・シン
ሱሙ-አቡም	スムアブム
ፈቃድ	意志
ቀዳማዊ ምኒልክ	メネリク1世
ፒጣና	ピトハナ
ቢታንያ	ビテュニア
ወደፊት ገስግሺ ውድ እናት ኢትዮጵያ	親愛なる聖エチオピア
ዲዬጎ ሉጋኖ	ディエゴ・ルガーノ
ሆር አዊብሬ	ホル
ኤሽኑና	エシュヌンナ
አርዋድ	アルワード島
ኣምባሩድ	タマリロ
ማሳጌታያውያን	マッサゲタイ
እያሱ ፭ኛ	リジ・イヤス
ኒኑርታ-አፒል-ኤኩር	ニヌルタ・アピル・エクル
ኤንመባራገሲ	エンメバラゲシ
ኤንመተና	エンメテナ
ኃይለማሪያም ደሳለኝ	ハイレマリアム・デサレン
የቤልጅግ የዘውድ እግር ኳስ ማህበር	ベルギーサッカー協会
ቁንጫ	ノミ
ኃይል	パワー
ሻንግጭዩ	商丘市
ዡ	予 (夏)
እሽመ-ዳጋን (ኢሲን)	イシュメ・ダガン
ጋምላ ኡፕሳላ	ガムラ・ウプサラ
ዳግዳ	ダグザ
ጋስቶን ራሚሬዝ	ガストン・ラミレス
የስዊድን እግር ኳስ ማህበር	スウェーデンサッカー協会
ሪም-ሲን	リム・シン1世
1 እሽመ-ዳጋን	イシュメ・ダガン1世
ሄንሪ አዳምስ	ヘンリー・アダムズ
ክለብ አሜሪካ	クラブ・アメリカ
ዳርዳኑስ	ダルダノス
እፃዊ ተዋልዶ	栄養繁殖
ፋሲል ግቢ	ファジル・ゲビ
ጀምፓ ላሂሪ	ジュンパ・ラヒリ
ማርጋሬት ማረን	マーガレット・マロン
ደራርቱ ቱሉ	デラルツ・ツル
የስዊዘርላንድ እግር ኳስ ማህበር	スイスサッカー協会
«የተከሠተው ዕድል»	マニフェスト・デスティニー
መሮ	鏨
የኦራፂዮች ቃለ መሐላ	ホラティウス兄弟の誓い
አምፖስታ	アンポスタ
ታን ሶን ናት ዓለም አቀፍ አውሮፕላን ማረፊያ	タンソンニャット国際空港
ኤድዊን ቫን ደር ሳር	エトヴィン・ファン・デル・サール
ደራሲ	作家
ፓሪስ ሴንት-ጀርሜይን የእግር ኳስ ክለብ	パリ・サンジェルマンFC
አላማ ኢቅባል	ムハンマド・イクバール
የሞዛምቢክ ሰንደቅ ዓላማ	モザンビークの国旗
ሊኒያር እኩልዮሽ	一次方程式
ሬማገን	レマーゲン
ሞፕሶስ	モプソス
ቢላል	ビラール・ビン＝ラバーフ
ጨረቃ ላይ መውጣት	月面着陸
የኮሪያ እግር ኳስ ማህበር	大韓サッカー協会
ክለብ ናስዮናል ዴ ፉትቦል	ナシオナル・モンテビデオ
ኢሲን	イシン
ኤሌክትሪክ ፍሰት	電束
ዔቦር	エベル (聖書)
የላይቤሪያ ፕሬዝዳንት	リベリアの大統領
ሚጥሚጣ	ピリピリ
ነደርሳክስኛ	オランダ低ザクセン語
ድልማጥያ	ダルマチア
ጉታውያን	グティ人
ዳንጉን ዋንገም	檀君
ቲም ላሄይ	ティム・ラヘイ
ጆን ዲ ማክዶናልድ	ジョン・D・マクドナルド
ኆኅተ እና	ANDゲート
ኆኅተ ወይም	ORゲート
እሽቢ-ኤራ	イシュビ・エッラ
ጂዮቫኒ ዶስ ሳንቶስ	ジョバニ・ドス・サントス
የፍርድ ቀን	最後の審判 (ミケランジェロ)
አንሻን	アンシャン
የቻይና እግር ኳስ ማህበር	中国サッカー協会
አልባሴቴ ባሎምፕዬ	アルバセテ・バロンピエ
ፒኮ ክሪስቶባል ኮሎን	クリストバル・コロン山
የጃፓን እግር ኳስ ማህበር	日本サッカー協会
ዳኑቢዮ የእግር ኳስ ክለብ	ダヌービオFC
ታራ	テラ (聖書)
የቺሌ እግር ኳስ ፌዴሬሽን	チリサッカー連盟
ክለብ ኦሊምፒያ	オリンピア・アスンシオン
የሲሸልስ እግር ኳስ ፌዴሬሽን	セーシェルサッカー連盟
ልድያ	リュディア
ኪልቅያ	キリキア
የሳዑዲ አረቢያ እግር ኳስ ፌዴሬሽን	サウジアラビアサッカー連盟
የኡዝቤኪስታን እግር ኳስ ፌዴሬሽን	ウズベキスタンサッカー連盟
የማሌዢያ እግር ኳስ ማህበር	マレーシアサッカー協会
የኪርጊዝ ሪፐብሊክ እግር ኳስ ፌዴሬሽን	キルギスサッカー連盟
ሚስያ	ミュシア
ቀበቶ (ማሽን)	ベルト (機械)
ዳ ዩ	禹
ጉሬዛ	ゲレザ
ተርቃ	テルカ
ክለብ አትሌቲኮ ቤላ ቪዝታ	CAベジャ・ビスタ
ፑዌብላ እግር ኳስ ክለብ	プエブラFC
ፎሮኔዎስ	ポローネウス
የኖርተን እርግጥ	ノートンの定理
ፓሪሲ	パリシイ族
ዴፖርቲቮ ካሊ	デポルティーボ・カリ
የሲቢሊን መጻሕፍት	シビュラの書
ኒኑርታ-ቱኩልቲ-አሹር	ニヌルタ・トゥクルティ・アッシュール
ጆ ላንስዴል	ジョー・R・ランズデール
ዊንድሁክ ሆዜ ኩታኮ ዓለምአቀፍ አውሮፕላን ማረፊያ	ウィンドフック・ホセア・クタコ国際空港
ናቪያ	ナビア
የጎባጣ ርዝመት	弧長
ይስሐቅ	イサク
ሳካዎች	サカ
ኢሉሹማ	イルシュマ
ሐቡር ወንዝ	ハブール川
ማሮኔያ	マロネイア
ባንፊልድ አትሌቲክ ክለብ	CAバンフィエルド
የአሜሪካዊ ደራሲያን ዝርዝር	アメリカ合衆国の小説家一覧
ክሪስታል ራዲዮ	鉱石ラジオ
ታራንትኛ	タラント語
የኡር-ናሙ ሕግጋት	ウル・ナンム法典
ሺንሺ	倍達国
ክለብ አትሌቲኮ ሴሮ	CAセロ
1 ኤሪሹም	エリシュム1世
ዲ ኩ	コク
የኡራጓይ እግር ኳስ ማህበር	ウルグアイサッカー協会
ርግ ቬዳ	リグ・ヴェーダ
ኢናቆስ	イーナコス
ኖርማን ማክሊን	ノーマン・マクリーン
ኢላ-ካብካቡ	イラ・カブカブ
ኡኒቨርሲዳድ ዴ ቺሌ ክለብ	CFウニベルシダ・デ・チレ
Yeghishe Charents	イェギシェ・チャレンツ
የሲቢሊን ራዕዮች	シビュラの託宣
ቡሲሪስ	ブーシーリス
ኡማ	ウンマ (シュメールの都市国家)
ዓይንባይን ዝምድና	漸化式
ድልሙን	ディルムン
ባዮና	バイヨーナ
ሉጋልባንዳ	ルガルバンダ
ከቅድመ-ሴማዊ የደረሱት ጽሕፈቶች ትውልድ	原シナイ文字から派生した文字体系
ሲ.ኤፍ. ሞንተሬይ	CFモンテレイ
ኪልሜስ አትሌቲኮ ክለብ	キルメスAC
የሆንዱራስ ራስ ገዥ ብሔራዊ እግር ኳስ ፌዴሬሽን	ホンジュラスサッカー連盟
አዋሽ ወንዝ	アワッシュ川
ሐይክ	ハイク・ナハペト
ታሁሙልኮ	タフムルコ山
ኖያ	ノイア
ሜኖንጉዌ	メノングエ
ያው	堯
ታፋላ	タファリャ
የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ቡድኖች	2010 FIFAワールドカップ参加チーム
የኢትዮጵያ ነገሥታት	エチオピアの国家元首の一覧
የኮሎምቢያ እግር ኳስ ፌዴሬሽን	コロンビアサッカー連盟
የደቡብ አፍሪካ እግር ኳስ ማህበር	南アフリカ共和国サッカー協会
ኒው ዚላንድ እግር ኳስ	ニュージーランドフットボール
ጤፍ	テフ (穀物)
መጽሐፈ ኩፋሌ	ヨベル書
ኢትስ ኮምፕሊኬትድ (ፊልም)	恋するベーカリー
ዲፌንሶር ስፖርቲንግ	デフェンソール・スポルティング
ጉራጌ	グラジェ族
መስ-አኔ-ፓዳ	メスアンネパダ
ክሩዝ አዙል	クルス・アスル
የአንጎላ ፕሬዝዳንት	アンゴラの大統領一覧
ቁና	錐台
ክለብ ሊበርታድ	クラブ・リベルタ
ወጋኝ አግላይ መርህ	包除原理
ያሲዩስ ያኒጌና	イーアシオーン
ቲግሬስ ዴ ላ ዩ.ኤ.ኤን.ኤል.	UANLティグレス
ምድያም	ミデヤン人
አምልኮ	礼拝
የሜዳ ፍየል	ゼメリングガゼル
ሴሬሶ ኦሳካ	セレッソ大阪
ትንታ	ハイムリッヒ法
ሻንዶንግ ልሳነ ምድር	山東半島
የገንዘብ አይነቶች	通貨の一覧
ዘመናዊ ፍልስፍና	近世哲学
ሞንቴቪዴዮ ዋንደረረስ	モンテビデオ・ワンダラーズFC
ኩቲክ-ኢንሹሺናክ	クティク・インシュシナク
ጥቁር አባይ	青ナイル川
ኤናናቱም	エンアンナトゥム1世
ይኩኖ አምላክ	イクノ・アムラク
የ2003 ዓ.ም. ፉኩሺማ አደጋ ውጤት	福島第一原発事故による放射性物質の拡散
ብሬስ	ブレス (ケルト神話)
እርዳታ:ይዞታ	Help:目次
የቱኒዚያ እግር ኳስ ፌዴሬሽን	チュニジアサッカー連盟
የካሜሩን እግር ኳስ ፌዴሬሽን	カメルーンサッカー連盟
ይሁዳዊ-ሮማንስ ቋንቋዎች	ユダヤ・ロマンス語群
ጄምስ ኖርማን ሃል	ジェームズ・ノーマン・ホール
እንጀራ	インジェラ
የኤሽኑና ሕግጋት	エシュヌンナ法典
ካምቤልታውን	キャンベルタウン (ニューサウスウェールズ州)
ወላይታ	オメト族
ሴት	セス
ሱሳና ሓርፕ	スサナ・ハープ
ላፈርቲ	R・A・ラファティ
መሃመድ አማን	モハメド・アマン
ኢሽሜል ሪድ	イシュマエル・リード
የደም ቧንቧ	血管
ሶሂህ ቡሃሪ	サヒーフ・アル＝ブハーリー
ቭራሆቪቸ	ヴラホヴィツェ
ሚራማር ሚሲዮኔስ	CSミラマール・ミシオネス
ሺንዠንግ	新鄭市
የካናዳ እግር ኳስ ማህበር	カナダサッカー協会
ሐረሪ ሕዝብ ክልል	ハラリ州
ደብተር	学習帳
የኢራን እስላማዊ ሪፐብሊክ እግር ኳስ ፌዴሬሽን	イラン・イスラム共和国サッカー連盟
ፐንቻክ ጃያ	プンチャック・ジャヤ
ናምቻ ባርዋ	ナムチャバルワ
ካርቱም ኤርፖርት	ハルツーム国際空港
ሴንትራል ኤስፓኞል	セントラル・エスパニョール
ዳንኤል ሃንድለር	ダニエル・ハンドラー
የምዕራብ ንጉሥ እናት	西王母
ኡር-ናንሼ	ウル・ナンシェ
የተጠበሰ ዶሮ	フライドチキン
ቅድመ-ሴማዊ ጽሕፈት	ワディ・エル・ホル文字と原シナイ文字
ቆንጣጭ እርግጥ	はさみうちの原理
የማሊ እግር ኳስ ፌዴሬሽን	マリサッカー連盟
ኑዋዳ	ヌアザ
ሊፒት-እሽታር	リピト・イシュタル
ዙር ግልባጭ	対偶 (論理学)
የፈጠራዎች ታሪክ	発明の年表
ክለብ ሳንድዊች	アメリカンクラブハウスサンド
ኢንጋይዎን	インガエウォネース族
ፕላዛ ኮሎኒያ	プラサ・コロニア
ሳን ሉዊስ የእግር ኳስ ክለብ	サン・ルイスFC
ክለብ ቲኋና	クラブ・ティフアナ
ኮርያ	韓国 (曖昧さ回避)
ሊቨርፑል የእግር ኳስ ክለብ	リヴァプールFC
ሊቨርፑል የእግር ኳስ ክለብ (ሞንቴቪድዮ)	リベルプールFC
መድፈኛ	ガスケット
ሎክ ዱክ	涇陽王
የኢትዮጵያ ሕዝቦች አብዮታዊ ዲሞክራሲያዊ ግንባር	エチオピア人民革命民主戦線
ማንቢጅ	マンビジ
ሚዛናዊ ውጭ ስብስብ	対称差
ሻውሃው	少昊
ቺ ዮው	蚩尤
የላቲን አሜሪካ ሥነ ፅሁፍ	ラテンアメリカ文学
ታይ ካንግ	太康 (夏)
ጉን	鯀
የሜክሲኮ እግር ኳስ ፌዴሬሽን	メキシコサッカー連盟
ፎሞራውያን	フォモール族
የመርዌ ጽሕፈት	メロエ文字
ማንግ	芒 (夏)
ሤ	泄 (夏)
ዦንግ ካንግ	中康
ሥያንግ	相 (夏)
ሻውካንግ	少康 (夏)
ውክፔዲያ:ኤምባሲ	Wikipedia:大使館
ቡ ጅያንግ	不降
ኋይ	槐 (夏)
ትርምስ	完全順列
ዲ ዥዕ	摯
የካልኩለስ መሰረታዊ እርግጥ	微分積分学の基本定理
ሸሆኔ	有蹄類
ፖል ካጋሜ	ポール・カガメ
አዲስ አበባ ዩኒቨርስቲ	アディスアベバ大学
ላይ አፈር	表土
የሷሶን ግዛት	ソワソン管区
ጌሤም	ゴシェン
ጉንጉኑም	グングヌム
ቲሪጋን	ティリガン
የጎንግሄ እንደራሴነት	共和 (周)
ክለብ ኔካክሳ	クルブ・ネカクサ
የቅጥ ቋንቋ	パタン・ランゲージ
የኮምፒዩተር አውታር	コンピュータネットワーク
ዶሮ ወጥ	ワット (エチオピア料理)
ኩዱር-ማቡግ	クドゥル・マブク
የኢትዮጵያ አየር መንገድ በረራ 961	エチオピア航空961便ハイジャック墜落事件
እስልምና ባህል	イスラーム文化
አቢሜሌክ	アビメレク
ኤንሻኩሻና	エンシャクシュアンナ
ዙር	逆
አልቫሮ ራፋኤል ጎንዛሌዝ	アルバロ・ゴンサレス
ቱዊስኮን	トゥイストー
መደብ:ጀርመን	Category:ドイツ
መደብ:ጣልያን	Category:イタリア
መደብ:የአሜሪካ ተባባሪ ክፍላገሮች	Category:アメリカ合衆国
መደብ:ሩስያ	Category:ロシア
መደብ:አውስትራልያ	Category:オーストラリア
መደብ:ሜክሲኮ	Category:メキシコ
መደብ:ሕንድ	Category:インド
መደብ:እስራኤል	Category:イスラエル
መደብ:ደቡባዊ አፍሪቃ	Category:南アフリカ共和国
መደብ:ግብፅ	Category:エジプト
መደብ:አርጀንቲና	Category:アルゼンチン
ክሻትሪያ	クシャトリヤ
አ ፖብራ ዴ ትሪቬስ	ア・ポブラ・デ・トリーベス
መደብ:አልጄሪያ	Category:アルジェリア
መደብ:ኦስትሪያ	Category:オーストリア
መደብ:ኢትዮጵያ	Category:エチオピア
መደብ:ሆላንድ	Category:オランダ
መደብ:ናይጄሪያ	Category:ナイジェリア
መደብ:ፖላንድ	Category:ポーランド
መደብ:ፖርቱጋል	Category:ポルトガル
መደብ:ቬትናም	Category:ベトナム
መደብ:አዕዋፍ	Category:鳥類
መደብ:አትክልት	Category:植物
መደብ:ሥነ ሕይወት	Category:生物学
መደብ:የጥንተ ንጥር ጥናት	Category:化学
መደብ:ታሪክ	Category:歴史
መደብ:መልክዐ ምድር	Category:地理
መደብ:ሃይማኖት	Category:宗教
መደብ:ስፖርት	Category:スポーツ
መደብ:ሳይንስ	Category:科学
መደብ:መሬት	Category:地球
የ1934 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1934 FIFAワールドカップ
ሞናርካስ ሞሬሊያ	モナルカス・モレリア
የፈተና ደንጊያ	試金石
ጌራራ	ゲラル
ሀመር	ハマー族
ነፃነት	フリーダム
መረጃ ደህንነት አስተዳደር ስርዓት	情報セキュリティマネジメントシステム
ግሽጣ	サワーソップ
በር:ሳጥን ራስጌ	Template:Box-footer
ጠላ	テラ (飲料)
ሸንኖንግ በንጻው ጂንግ	神農本草経
ማጎግ	マゴグ
ናራም-ሲን (አሦር)	ナラム・シン (アッシリア王)
መደብ:መንታ መንገዶች	Category:曖昧さ回避
መደብ:ፍልስፍና	Category:哲学
መደብ:ክርስትና	Category:キリスト教
መደብ:እስልምና	Category:イスラム教
ኢኩኑም	イクヌム
አዳል	アダル・スルタン国
ሰንሰለት	鎖
አሦር (የሴም ልጅ)	アッシュール (聖書)
የዓለም ሀገራት ባንዲራዎች	国旗の一覧
ህዝብ	人民
ከንባታ	カンバタ族
2 ፑዙር-አሹር	プズル・アッシュール2世
2 ኤሪሹም	エリシュム2世
ፎኪስ	フォキス
ሌባ	窃盗
ልዑል	プリンス
ካጌራ ወንዝ	カゲラ川
ሰመራ	セメラ
ሰሊጥ	ゴマ
መደብ:መዋቅሮች	Category:スタブ
መደብ:Wikipedia	Category:プロジェクト関連文書
መደብ:ባሕል ነክ መዋቅሮች	Category:文化スタブ
መደብ:ባሕል	Category:文化
መደብ:ፈረንጅ አመቶች	Category:年
መደብ:አህጉር	Category:大陸
ኤራ-ኢሚቲ	イルラ・イミッティ
የሞሮኮ የዘውድ እግር ኳስ ፌዴሬሽን	王立モロッコサッカー連盟
መሐመድ አሚን	モハメド・アミン
ሃሮልድ ላምብ	ハロルド・ラム
በር:መልክዐ ምድር	Portal:地理学
በር:ፍልስፍና	Portal:哲学
መደብ:Wikipedia bots	Category:Wikipedia bots
ጥድፈት	速さ
ቤቴል	ベテル
በር:ባሕልናኪነት	Portal:美術
መደብ:የጀርመን ሰዎች	Category:ドイツの人物
መደብ:የአሜሪካ ሰዎች	Category:アメリカ合衆国の人物
መደብ:የኦስትሪያ ሰዎች	Category:オーストリアの人物
መደብ:የፈረንሳይ ሰዎች	Category:フランスの人物
መደብ:የአሜሪካ ፊልሞች	Category:アメリカ合衆国の映画作品
መደብ:የአሜሪካ ሙዚቀኞች	Category:アメリカ合衆国のミュージシャン
መደብ:ጉግል	Category:Google
መለጠፊያ:Location map Scotland	Template:Location map Scotland
መለጠፊያ:Location map እንግሊዝ	Template:Location map England
መደብ:ሕግ	Category:法
መደብ:አገራት	Category:国
ውክፔዲያ:መጋቢዎች	Wikipedia:管理者
መደብ:የኢትዮጵያ ብሔሮች	Category:エチオピアの民族
መደብ:ሰዎች	Category:人物
ውክፔዲያ:Bots	Wikipedia:Bot
የስብስብ ብዛት	濃度 (数学)
መደብ:ሥነ አካል	Category:解剖学
መደብ:ሕክምና	Category:医学
መደብ:የፖለቲካ ጥናት	Category:政治
መደብ:ትምህርት	Category:教育
ግብፅ	エジプト
መለጠፊያ:Bot	Template:Bot
ካናዳ	カナダ
መደብ:ግሪክ	Category:ギリシャ
መደብ:ስዊድን	Category:スウェーデン
መደብ:ስሎቫኪያ	Category:スロバキア
ግልባጭ	裏 (論理学)
መደብ:Wikipedia:Featured article	Category:秀逸な記事
መደብ:የአውሮፓ አገራት	Category:ヨーロッパの国
መደብ:አውሮፓ	Category:ヨーロッパ
መለጠፊያ:Documentation	Template:Documentation
መደብ:Translation requests	Category:翻訳依頼
ውክፔዲያ:Resolving disputes	Wikipedia:論争の解決
መደብ:የአባሎች ልሳናት	Category:言語別の利用者
ሰውንግ ጀ-ጊ	成在基
ነጭ አባይ	白ナイル川
መለጠፊያ:Softredirect	Template:Softredirect
መለጠፊያ:ለማጥፋት	Template:即時削除
መደብ:ቋንቋዎች	Category:諸言語
መደብ:የሚሰጥ ስሞች	Category:個人名
እርዳታ:Starting a new page	Help:新規ページの作成
መደብ:Noindexed pages	Category:検索エンジンに収集されないページ
መደብ:የማይኖሩ ፋይሎች ያሉባቸው ገጾች	Category:壊れたファイルへのリンクがあるページ
ውክፔዲያ:ክፍለ-ዊኪዎች	Help:名前空間
ሲ.አር. ቫስኮ ደ ጋማ	CRヴァスコ・ダ・ガマ
መለጠፊያ:Navbox	Template:Navbox
ቀረፃ	録音
የኦርኾን ጽሕፈት	突厥文字
መለጠፊያ:!	Template:!
መለጠፊያ:Tnavbar	Template:Tnavbar
መለጠፊያ:Clear	Template:Clear
መለጠፊያ:Col-break	Template:Col-break
መለጠፊያ:Col-begin	Template:Col-begin
መለጠፊያ:Col-end	Template:Col-end
መደብ:አፍሪቃ	Category:アフリカ
መደብ:መጽሐፍ ቅዱስ	Category:聖書
መለጠፊያ:Babel	Template:Babel
መለጠፊያ:Commons	Template:Commons
መለጠፊያ:Link GA	Template:Link GA
መለጠፊያ:Reflist	Template:Reflist
ውክፔዲያ:Searching	Help:検索
መለጠፊያ:መዋቅር	Template:Stub
መለጠፊያ:User af-1	Template:User af-1
መለጠፊያ:User ar-1	Template:User ar-1
መለጠፊያ:User az	Template:User az
መለጠፊያ:User eo-1	Template:User eo-1
መለጠፊያ:See also	Template:See also
መለጠፊያ:User da-2	Template:User da-2
መለጠፊያ:User da	Template:User da
መለጠፊያ:User ca-1	Template:User ca-1
መለጠፊያ:User da-1	Template:User da-1
መለጠፊያ:User eo-3	Template:User eo-3
መለጠፊያ:User de	Template:User de
መለጠፊያ:User de-1	Template:User de-1
መለጠፊያ:User et-1	Template:User et-1
መለጠፊያ:User el	Template:User el
መለጠፊያ:User es	Template:User es
መለጠፊያ:User de-3	Template:User de-3
መለጠፊያ:User en-3	Template:User en-3
መለጠፊያ:User el-1	Template:User el-1
መለጠፊያ:User en-1	Template:User en-1
መለጠፊያ:User en-2	Template:User en-2
መለጠፊያ:User eo-2	Template:User eo-2
መለጠፊያ:User en-4	Template:User en-4
መለጠፊያ:User fi	Template:User fi
መለጠፊያ:User en-0	Template:User en-0
መለጠፊያ:User es-4	Template:User es-4
መለጠፊያ:User en	Template:User en
መለጠፊያ:User de-2	Template:User de-2
መለጠፊያ:User es-1	Template:User es-1
መለጠፊያ:User fa	Template:User fa
መለጠፊያ:User fr-1	Template:User fr-1
መለጠፊያ:User ja-4	Template:User ja-4
መለጠፊያ:User sk	Template:User sk
መለጠፊያ:User fr-2	Template:User fr-2
መለጠፊያ:User tr	Template:User tr
