非洲	アフリカ
O-le̍t-liòng	ルキウス・ドミティウス・アウレリアヌス
Fù-pet	湖北省
Sân-sî	山西省
Hòng-khûng Kûng-sṳ̂	航空会社
Hò-khiéu-vân	三角江
Chûng-set	茶色
Kui-chû	貴州省
Chûng-khi Sṳ̀n-kîn Ne-thúng	中枢神経系
Yî-fut-só	エフェソス
Ôn-tha̍t-màn Hói	アンダマン海
Yok-sû-â-ki	ヨシュア記
Sî-pet Yîn-kak-làn	ノース・ウェスト・イングランド
Shám-sî-sén	陝西省
Tûng-pet Yîn-kak-làn	ノース・イースト・イングランド
Tûng Midlands	イースト・ミッドランズ
Tûng Yîn-kak-làn	イースト・オブ・イングランド
Tûng-nàm Yîn-kak-làn	サウス・イースト・イングランド
Sî-nàm Yîn-kak-làn	サウス・ウェスト・イングランド
模板:Commonscat	Template:Commonscat
Sî Midlands	ウェスト・ミッドランズ (リージョン)
Yorkshire lâu Humber	ヨークシャー・アンド・ザ・ハンバー
Kòn Se-pâu	幹細胞
Lò-mâ-sû	ローマの信徒への手紙
Mâ-liuk-kap Hói-hia̍p	マラッカ海峡
Yù-thai Vòng-koet	ユダ王国
Fî-yí Mî-koet Het-ngìn	アフリカ系アメリカ人
Mà-sat-chû-set Lî-kûng Ho̍k-yen	マサチューセッツ工科大学
Pô-sṳ-tun Thai-ho̍k	ボストン大学
Yâ-lû Thai-ho̍k	イェール大学
Nàm-pet-chêu	南北朝時代 (中国)
Liû-Sùng	宋 (南朝)
Fûn-lî	結婚式
Pan Chúng-thúng-chṳ	半大統領制
Kâ-phìn-khiùn	加平郡
Fâi-sân-khiùn	槐山郡
Kím-sân-khiùn	錦山郡
Tan-yòng-khiùn (Hôn-koet)	丹陽郡
Po-ên-khiùn	報恩郡
Fù-yì-khiùn	扶餘郡
Sû-chhôn-khiùn	舒川郡
Yòng-khiéu-khiùn	楊口郡
Siong-yòng-khiùn	襄陽郡
Yòng-phìn-khiùn	楊平郡
Lî-chû-sṳ	驪州市
Liên-chhôn-khiùn	漣川郡
Yún-thùng-khiùn	永同郡
Nèn-ye̍t-khiùn	寧越郡
Lî-sân-khiùn	礼山郡
Vok-chhôn-khiùn	沃川郡
Yîm-sàng-khiùn	陰城郡
Lîn-thài-khiùn	麟蹄郡
Tsin-san-khiùn	旌善郡
Chên-phiàng-khiùn	曽坪郡
Chṳ́n-chhôn-khiùn	鎮川郡
Chhiâng-yòng-khiùn	青陽郡
Thai-ôn-khiùn	泰安郡
Fùng-sàng-khiùn	洪城郡
Fùng-chhôn-khiùn	洪川郡
Fà-chhôn-khiùn	華川郡
Vàng-sàng-khiùn	横城郡
Ên-phìn-sṳ	恩平区
Fî-li̍p-pí-sû	フィリピの信徒への手紙
Thiên-koet Pat-fuk	真福九端
Mî-koet Lièn-pâng Chún-phi Ne-thúng	連邦準備制度
Kúai-é	カエル
Hâ Sî-lî-sî-â-sén	ドルヌィ・シロンスク県
Khù-â-vì - Pô-mî-là-nì-â-sén	クヤヴィ＝ポモージェ県
Lû-pu-lìm-sén	ルブリン県
Lû-pu-sṳ̂-khà-sén	ルブシュ県
Lò-tsṳ-sén	ウッチ県
Séu Pô-làn-sén	マウォポルスカ県
Mâ-tsó-fû-sá-sén	マゾフシェ県
O-pô-lòi-sén	オポーレ県
Khak-ngì-pâ-yèn-sân-sén	ポトカルパチェ県
Pô-tet-là-chhia-sén	ポドラシェ県
Pô-mî-là-nì-â-sén	ポモージェ県
Sî-lî-sî-â-sén	シロンスク県
Sṳn-sṳ̍p-sṳ-sén	シフィェンティクシシュ県
Sî Pô-mî-là-nì-â-sén	西ポモージェ県
Pâ-lùn-sî-â-sén	バレンシア県
Sat-là-kô-sat-sén	サラゴサ県
Vùi-sṳ̂-khà-sén	ウエスカ県
Baak-gaa-seng	百家姓
Sok-lî-â-sén	ソリア県
Hien-thoi Khì-chhâ	現代自動車
Sûng-hâi-khî	双渓区
Kîm Tsang-ên	金正恩
Pu-nùng-ngî	ブヌン語
Phû-sien-ngî	ホ仙語
Kông-sî	江西省
Wernher von Braun	ヴェルナー・フォン・ブラウン
Nèn-ha	寧夏回族自治区
Lí Hién-liùng	リー・シェンロン
Kîm-fà-sṳ	金華市
Thòi-chû-sṳ	台州市
Phòng-châ-phú-ngî	パンジャーブ語
Phú-sṳ̍p-thok-ngî	パシュトー語
Yâ-chû	イノシシ
Chû-hói-sṳ	珠海市
Sân-thèu-sṳ	汕頭市
Shâu-kûan-sṳ	韶関市
Kông-mùn-sṳ	江門市
Chhám-kông-sṳ	湛江市
Shàu-khin-sṳ	肇慶市
Fi-chiu-sṳ	恵州市
Mòi-chiu-sṳ	梅州市
San-mî-sṳ	汕尾市
Hò-ngièn-sṳ	河源市
Yòng-kông-sṳ	陽江市
Chhîn-yén-sṳ	清遠市
Tûng-kôn-sṳ	東莞市
Chûng-sân-sṳ	中山市
Chhèu-chiu-sṳ	潮州市
Thiên-tén-yen	天等県
Liùng-chiu-yen	竜州県
Nèn-mìn-yen	寧明県
Thai-sîn-yen	大新県
Thòi-vân sén-tho	台湾省道
Mâ-liuk-kap-sṳ	ムラカ
Khiâu-chhṳ-sṳ	ジョージタウン (ペナン州)
IPhone 5	IPhone 5
Nàm-Chhî	斉 (南朝)
Mèu-li̍t-yen	苗栗県
Sṳn-chhôn-lî	聖餐
Fuk-chiu-sṳ	福州市
Nàm-phìn-sṳ	南平市
Phû-thièn-sṳ	ホ田市
Sâm-mìn-sṳ	三明市
Tshièn-chiu-sṳ	泉州市
Hà-mûn-sṳ	廈門市
Chông-chiu-sṳ	ショウ州市
Liùng-ngâm-sṳ	竜岩市
Nèn-tet-sṳ	寧徳市
Sî-pak-li-â Fú	アムールトラ
Thiên-ngô-yen	天峨県
Nàm-tan-yen	南丹県
Fung-sân-yen	鳳山県 (河池市)
Tûng-làn-yen	東蘭県
Pat-tet-sṳ	八徳区
Sîn-chuk-yen	新竹県
Thông Ngiâ-mong	アダム・シャール
Yáng-chhiong Chín-thôn-ho̍k	放射線医学
La̍p-tsuk	ろうそく
Hiet-chiong	血漿
Southampton	サウサンプトン
Lu-tet-ki	ルツ記
Hâ-sat-khiet-chhu̍k	カザフ
Yòng-mî	トンボ亜目
Chit-fûn-ho̍k	積分法
Kô-lìm-tô-chhièn-sû	コリントの信徒への手紙一
Sî-pân-ngà Ti-koet	スペイン帝国
Pha̍k-yùn-khî (Kóng-chiu-sṳ)	白雲区 (広州市)
Sṳ-sṳ̂-ki	士師記
Po-lîn-chhòi	ホウレンソウ
Pâ-set-lò-nâ-sén	バルセロナ県
Nàm-thèu-yen	南投県
Liuk-piên-hìn	六角形
Thòi-pet 101	台北101
Lùn-tûn Thap-khiâu	タワーブリッジ
Siù-li Yún-kòn-sien-chhùng	カエノラブディティス・エレガンス
O-pô-lòi	オポーレ
Sopot	ソポト
Kám-lám-yù	オリーブ・オイル
Chim-sin-fi	バプテスト教会
Vú-yî-sân-sṳ	武夷山市
Set-vì-li-â-sén	セビリア県
Thap-là-kô-na̍p-sén	タラゴナ県
Provence-sén	プロヴァンス
Kî-hài Kûng-chhàng	機械工学
Apeldoorn	アペルドールン
Lìm-pó-ngî	リンブルフ語
Khái-ngì-chhái	キェルツェ
Bytom	ビトム
Ôn-sit-ngit	安息日
Khìm-sṳ̂-thok-khok-ngá	チェンストホヴァ
Zabrze	ザブジェ
Ôn-sit-ngit-fi	セブンスデー・アドベンチスト教会
Jean Michel Jarre	ジャン・ミッシェル・ジャール
Thai Pô-làn Thi-khî Kô-yî-fû	ゴジュフ・ヴィエルコポルスキ
Là-tô-mê	ラドム
Lo̍k-chham-ki-yen	ロサンゼルス郡 (カリフォルニア州)
Słupsk	スウプスク
Sosnowiec	ソスノヴィエツ
Gliwice	グリヴィツェ
Yo̍k-sṳ̂	薬剤師
Hi-kôn Yì-chhṳ̍t	移植 (医療)
Bielsko-Biała	ビェルスコ＝ビャワ
Rybnik	リブニク
Mâ-khó-fuk-yîm	マルコによる福音書
Ruda Śląska	ルダ・シロンスカ
Yok-thán-vòng	ヨタム (ユダ王)
Thò-yèn-yen	桃園市
10000000	10000000
Nò-mí	もち米
Kîn-tû-fú	京都府
Kau-su	教授
Thai-fán-fú	大阪府
Fuk-kông-yen	福岡県
Oi-yèn-yen	愛媛県
Kô-lìm-tô-heu-sû	コリントの信徒への手紙二
Khien-mî	ボディビル
Chhùng-hièn	ミミズ
Port Elizabeth	ポート・エリザベス
Kimberley (Nàm-fî)	キンバリー
Yok-sâ-fap-vòng	ヨシャファト
Thòi-vân Hói-hia̍p	台湾海峡
Sî Khôi-phú-sén	西ケープ州
Yamaguchi-yen	山口県
Khiâu-chhṳ Sâm-sṳ	ジョージ3世 (イギリス王)
Chûng-koet Thi-fông	中国地方
Mî-koet Thu̍k-li̍p Siên-ngièn	アメリカ独立宣言
Sâm-tshûng-yen	三重県
Yù-mu̍k mìn-chhu̍k	遊牧民
Hiông-pak-su	ヒマラヤスギ属
Hî-pak-lòi-sû	ヘブライ人への手紙
Kâ-lâ-thai-sû	ガラテヤの信徒への手紙
Màn-é	ウナギ目
Sông-chhèu	殷
Thai-thúi	太股
Pîn-khù-yen	兵庫県
Kiûng-khì-yen	宮崎県
Yùng-pún-yen	熊本県
Stamford Raffles	トーマス・ラッフルズ
Sha̍m-é	セミ
Tûng Khôi-phú-sén	東ケープ州
Fap-koet Hòng-khûng	エールフランス
Kô-lò-sî-sû	コロサイの信徒への手紙
Ngâ-kok-sû	ヤコブの手紙
Yok-hon-yit-sû	ヨハネの手紙一
Fî-li-mùn-sû	フィレモンへの手紙
Thiap-sat-lò-nì-kâ-heu-sû	テサロニケの信徒への手紙二
Thiap-sat-lò-nì-kâ-chhièn-sû	テサロニケの信徒への手紙一
Pí-tet-chhièn-sû	ペトロの手紙一
Thì-mô-thai-chhièn-sû	テモテへの手紙一
Lí Kông-yeu	リー・クアンユー
Chṳ̂-kâ-kô Thai-ho̍k	シカゴ大学
Tsṳ̂-fo-yen	滋賀県
Mu-nì-het Kî-chhòng	ミュンヘン国際空港
Yok-hon-ngi-sû	ヨハネの手紙二
Thì-mô-thai-heu-sû	テモテへの手紙二
Thì-tô-sû	テトスへの手紙
Yî-sṳ̂-lâ-ki	エズラ記
Nì-hî-mí-ki	ネヘミヤ記
Pietersburg	ポロクワネ
Séu Pha̍k-Lù	コサギ
Chhòn-ngiam-phiang	感染症
Kôn-yàm	肝炎
Chhûn-chiet	春節
Shinzō Abe	安倍晋三
Mpumalanga-sén	ムプマランガ州
Pet Khôi-phú-sén	北ケープ州
Tó-kîn-yen	島根県
Kông-sân-yen	岡山県
Gauteng-sén	ハウテン州
Thung-fûng	痛風
Chông-fa-yen	彰化県
Thai-fûn-yen	大分県
Tiâu-tshí-yen	鳥取県
Nùng-la̍k	中国暦
Kô-tî-yen	高知県
Pha̍k-hèu	ジフテリア
Exeter	エクセター
Saint Lawrence-hò	セントローレンス川
Limpopo-sén	リンポポ州
Kô-tén Kau-yuk	高等教育
Sân-tá-kîn	サンダカン
Â-pí	コタキナバル
Ngi̍t-pún thúng-tshṳ sṳ̀-thoi (Thòi-vân)	日本統治時代 (台湾)
Phok Kiún-fi	朴槿恵
Tûng-sṳ-khî	東勢区
Lévis	レヴィ (ケベック州)
Thòi-fûng	台風
Thòi-nàm-sṳ	台南市
Laval (Québec)	ラヴァル (ケベック州)
Charlemagne, Québec	シャルルマーニュ
Mâ-lòi Pô-lî-nì-sî-â Ngî-chhu̍k	マレー・ポリネシア語派
Fên-yòng-sṳ	衡陽市
Pet-lûn-khî	北侖区
Mân-chiu-tshu̍k	満州民族
Doetinchem	ドゥーティンヘム
Zamość	ザモシチ
Malbork	マルボルク
Mì-chit-fûn-ho̍k	微分積分学
Ngo̍k-yòng-sṳ	岳陽市
BP	BP (企業)
Sú-thiàu	フライドポテト
Yùn-lìm-yen	雲林県
Fù-khiéu-hiông	湖口郷
Kiok-tsṳ́	爪先
Vî-liâm Â-li̍t-sân-thai (Hò-làn)	ウィレム＝アレクサンダー (オランダ王)
Sî-fù-khî (Hông-chû-sṳ)	西湖区 (杭州市)
Vì-tô-li-â Kóng	ビクトリア・ハーバー
Sî-kung-khî	西貢区
Mâ-nâ-sî-vòng	マナセ (ユダ王)
Kî-kîm-fi	財団法人
A-hîn Kôn-yàm	A型肝炎
Yù-tsiâm-vong-khî	油尖旺区
Fûng-sái	カキノキ
Tshṳ̍t-tshòng	直腸
Chhṳ-yù Pâng-sén	フリーステイト州
Tsó-fo-yen	佐賀県
Tet-tó-yen	徳島県
Sî-pân-ngà-ngìn	スペイン人
Fu̍t-chhṳ̂ Khiung-chṳn Sṳ̀n-siong	核磁気共鳴画像法
Hiông-tshon-yen	香川県
Reading, Berkshire	レディング
Kâ-chû Lî-kûng Ho̍k-yen	カリフォルニア工科大学
Vì-ngì-tshṳ-páu Thai-ho̍k	ユリウス・マクシミリアン大学ヴュルツブルク
Fên-yòng-yen	衡陽県
Êu-kí-lî-tet Kí-hò	ユークリッド幾何学
Si̍t-kuk	シリコンバレー
Barneveld	バルネフェルト
Khiu Tha̍t-sîn	タクシン・チナワット
Thòi-sân-sṳ	台山市
Lièn-phìn-yen	連平県
Kîm-kôa	カボチャ
Thai Sùn-thâ Khiùn-tó	大スンダ列島
Doesburg	ドゥースブルフ
Sî-pet-sén	北西州 (南アフリカ)
Sien-thon	線分
Kâ-ngi-yen	嘉義県
Vûn-tai	温帯
Thai-khi̍t-khièn	太極拳
Kiok-khwá	足関節
Hò-làn Tâi-thi Sat-khiet-sùn-ngî	低ザクセン語
Pân-kiêu-é	コキジバト
Tshòng-khì-yen	長崎県
Hà-chhèu	夏 (三代)
Chû-vì Sṳ̀n-kîn Ne-thúng	末梢神経系
Lùn-tûn Thai-ho̍k	ロンドン大学
Kip-sú	級数
Nelspruit	ネルスプロイト
Sâ-là-ye̍t-chû	サラワク州
Â-chû Thai-phìn-yòng Kîn-tsi Ha̍p-tsok Fi-ngi	アジア太平洋経済協力
Kôan-chiet-yàm	関節炎
Ngò-piên Yì-chhu̍k Chhṳ-chhṳ-yen	峨辺イ族自治県
Chûng-la̍k-sṳ	中レキ区
Montauban	モントーバン
Chhòng-sâ-sṳ	長沙市
Thai Put-lie̍t-tiên lâu Oi-ngì-làn Lièn-ha̍p Vòng-koet	グレートブリテン及びアイルランド連合王国
Kiok-kiên	かかと
Kûng-fûn	センチメートル
Lièn-ha̍p Hòng-khûng	ユナイテッド航空
Yen-thèu	咽頭
Hò-mí	ミリメートル
Tsûng-tsang-khî (Thòi-pet-sṳ)	中正区 (台北市)
Mì-mí	マイクロメートル
Pâ-mâ Yâu-chhu̍k Chhṳ-chhṳ-yen	巴馬ヤオ族自治県
Khi̍t-han (Sú-ho̍k)	極限
Theu-fú	豆腐
Phù-sat	菩薩
Chóng-ló Kau-fi	長老派教会
Hien-thoi Veloster	ヒュンダイ・ヴェロスター
Nai-mí	ナノメートル
Pâ-chûng-sṳ	巴中市
Fu̍t-kông-yen	仏岡県
Sâ-pâ-chû	サバ州
Nàm-nèn-sṳ	南寧市
Ngâ-li-ôn-ngìn	アーリア人
Yù-sṳn-mî-thi Koet-kâ Kûng-yèn	ヨセミテ国立公園
Chhiâng-set	シアン (色)
Ho̍k-yen	学部
Kô-hiùng-sṳ	高雄市
Pet-mî Chhṳ-yù Mo-yi Hia̍p-ngi	北米自由貿易協定
Sû-kak-làn-ngìn	スコットランド人
Rustenburg	ルステンブルク
Yen-tsong-fui	演奏会
Yù-fu̍t-chû	ジョホール州
Ngò-lò-sṳ̂ Lièn-pâng Chhṳ̍t-hot-sṳ	ロシアの連邦市
Fì-tshu̍k	回族
Sha̍k-sṳ	修士
Preston, Lancashire	プレストン (イングランド)
Sî-tí-kâ-vòng	ゼデキヤ (ユダ王)
Sâm-koet	三国時代 (中国)
Chhûn-chhiû Sṳ̀-khì	春秋時代
Chan-koet Sṳ̀-khì	戦国時代 (中国)
Mâ-liuk-kap-chû	ムラカ州
Pietermaritzburg	ピーターマリッツバーグ
Sú-vón	手首
Kit-làn-tan-chû	クランタン州
Tshông-tshu̍k	チベット系民族
Pîn-sàng-chû	ペナン州
Blackburn	ブラックバーン (イングランド)
Chûng-sin Pha̍k-hiet-khiû	好中球
Pâng-kâ-tó	バンカ島
Phìn-chhông-khiùn	平昌郡
Thai-koet Koet-chi Hòng-khûng Kûng-sṳ̂	タイ国際航空
Thai Ngi̍t-pún Ti-koet	大日本帝国
Hiûng-nù	匈奴
Phit-li̍t-chû	ペラ州
Lùn-tûn Ti-koet Ho̍k-yen	インペリアル・カレッジ・ロンドン
Tsen-sàng-sṳ	増城区
Kui-lìm-sṳ	桂林市
Siet-làn-ngô-chû	セランゴール州
Tui-kok-sien	対角線
Fi-li-phi Liuk-sṳ	フェリペ6世 (スペイン王)
Kûng-tún	トン
Phàng-hên-chû	パハン州
中國象棋	シャンチー
Pit-sṳn-hak	ピザハット
Yim-suk Siáu-tsṳ́	ソニック・ザ・ヘッジホッグ
Ngo̍k-vûn-khiet-tshu̍k	エヴェンキ
Kiu-ên	救済
Nàm-kîn Thai-thù-sat	南京事件 (1937年)
Yún Chṳ-Hau	尹致昊
Phì-mí	ピコメートル
Chûng-koet 2010-ngièn Sông-hói Sṳ-kie Pok-lám-fi	上海国際博覧会
Ngiù-ngiuk	牛肉
Carlisle, Cumbria	カーライル (イングランド)
Ngit-tèu-kông	太陽光
Khwon-kûan-tsiet	股関節
Fûn-kî-hon-khiûn	マイコバクテリウム属
Chàu-yòng-sṳ	邵陽市
Phìn-tûng-yen	屏東県
Chông-fa-sṳ	彰化市
Hién-mì-kiang	顕微鏡
Chông-phìn-sṳ	ショウ平市
Chông-kâ-kie-sṳ	張家界市
Tsàu-ôn-yen	詔安県
Chau-phìn-yen	昭平県
Chṳ Sṳ̀n-kûng	鄭成功
Tsṳn-fò-yen	政和県
Chin-siong-khî	蒸湘区
Chṳ́n-hói-khî (Nèn-pô-sṳ)	鎮海区 (寧波市)
Tsà-yùng-yen	柘栄県
Chûng-fò-khî	中和区
Chûng-kông-yen	中江県
Chung-sân-yen	鍾山県
Tsû-nèn-yen	周寧県
Chon-hiuk	センギョク
Chu-chû-sṳ	株洲市
Phàng-fù-yen	澎湖県
Nàm-sâ-khî	南沙区
Kûng-tshun	デシメートル
McGill Thai-ho̍k	マギル大学
Sâm-fòng Ńg-ti	三皇五帝
Sanok	サノク
Tsṳ́-kîm-yen	紫金県
Chhṳ-liù-chiáng-khî	自流井区
Mâ-tshâ	チャリオット
Milton Keynes	ミルトン・キーンズ
Â-mî-tshu̍k	アミ族
Ên-tién	恩寵 (キリスト教)
Hiong-sàng-khî	キョウ城区
Hî-lìn-tên-khî	ヒリンドン・ロンドン特別区
Chṳ̂-hîn-sṳ	資興市
Chṳ̂-yòng-sṳ	資陽市
Chṳ̂-ngièn-yen	資源県
Sṳ̀n-chhùng	成虫
Chang Thien-chṳ́ Fat-sa Kie-son-kî Thôn-chhèn Só-mèu	ポジトロン断層法
Przemyśl	プシェムィシル
Chhiòn-khiû Sàng-sṳ	世界都市
Pî-mí	フェムトメートル
Burnley	バーンリー
Tûng Lùn-tûn, Tûng Khôi-phú-sén	イースト・ロンドン
Pet-hói-sṳ	北海市
Mafikeng	マフィケング
Mí-sâ-yên Khiùn-tó	ビサヤ諸島
Yông-muì-sṳ	楊梅区
Lò-pô-ôn-vòng	レハブアム
Slough	スラウ
Thì-mô-thai	テモテ
Chho̍k-sṳ̂-lia̍p	セントロメア
Tûng-hò, Néu-yok-sṳ	イースト川
Chhêu-fông-hìn	超立方体
Sêm-mî-làn-chû	ヌグリ・スンビラン州
Fidel Valdez Ramos	フィデル・ラモス
Łomża	ウォムジャ
Siong-thâm-sṳ	湘潭市
Thûng-tshu̍k	トン族
Pak-fo Kûng-sṳ̂	百貨店
Thòi-vân Ngièn-tshu-mìn	台湾原住民
騷靈現象	ポルターガイスト現象
Tha̍t-vat-ngì-tshu̍k	ダウール族
Na̍p-sî-tshu̍k	ナシ族
Kô-hiùng-yen	高雄県
Khiu-lîn	丘陵
Outaouais	ウタウエ地域
Kuî-é	カメ
Pak-sâ-sat	ベルシャザル
Yî-set-lie̍t Vòng-koet	イスラエル王国
Tshòn-fì Yâ-lu-sat-lâng Yun-thung	バック・トゥー・エルサレム
Sîn-sân-sṳ	ジョホールバル
Khiu-kîm-sân Vân	サンフランシスコ湾
Li Mâ-teu	マテオ・リッチ
Tshài Yîn-vùn	蔡英文
Chełm	ヘウム
Pha̍k-ngìn	白人
Â-ha̍p-vòng	アハブ
Suwałki	スヴァウキ
Ngì-làn-yen	宜蘭県
Sî-làn-ngî	ゼーランド語
Epe	エーペ
Maidenhead	メイデンヘッド
Chû Khiet-lùn	周杰倫
Kiú-liùng	九龍
Nâ-pô-nì-tha̍t	ナボニドゥス
Kiap-kông-yen	夾江県
Hâ-phú-yen	霞浦県
Ngie-mí-li-ôn Lò-mâ-nok-ngî	エミリア・ロマーニャ語
Sîn-pet-sṳ	新北市
Hî-sî-kâ-vòng	ヒゼキヤ
Thòi-chûng-sṳ	台中市
IPhone 4S	IPhone 4S
Fâ-lièn-yen	花蓮県
Kîm-mùn-yen	金門県
Lièn-kông-yen	連江県 (中華民国)
Thòi-tûng-yen	台東県
Sîn-chuk-sṳ	新竹市
Kâ-ngi-sṳ	嘉義市
Kî-lùng-sṳ	基隆市
Pet-thèu-khî (Thòi-pet-sṳ)	北投区
Thai-ôn-khî (Thòi-pet-sṳ)	大安区 (台北市)
Sṳ-lìm-khî (Thòi-pet-sṳ)	士林区
Àu-thai-li-â Ngièn	オーストラリア・ドル
Thùng-lû-yen	桐廬県
Tûng-yín-hiông	東引郷
Fuk-tshîn-sṳ	福清市
Tûng-sṳ-hiông	東勢郷
Mò Chhiang-li ke Thung-vu̍t	不浄な生き物
Nyèn-sân-khî	雁山区
Tûng-sa̍k-hiông	東石郷
Ngo̍k-thòng-khî	岳塘区
Hon-ho̍k	中国学
Thai-thùng-khî (Thòi-pet-sṳ)	大同区 (台北市)
Nàm-kóng-khî (Thòi-pet-sṳ)	南港区
Nui-fù-khî (Thòi-pet-sṳ)	内湖区
Tshiùng-sân-khî (Thòi-pet-sṳ)	松山区 (台北市)
Van-fà-khî (Thòi-pet-sṳ)	万華区
Vùn-sân-khî (Thòi-pet-sṳ)	文山区
Sin-ngi-khî (Thòi-pet-sṳ)	信義区 (台北市)
Tsûng-sân-khî (Thòi-pet-sṳ)	中山区 (台北市)
Yî-pó-sṳ	イポー
Ná-pô-pha-lâ-sâ-ngì	ナボポラッサル
Â-pí-ngâ-vòng	アビヤム
Sûn N̂g	呉 (三国)
Pha̍k-chhu̍k	ペー族
Aalten	アールテン
Ap-chû	鴨洲
Phiâng-sân-sîn-khî	坪山新区
Chàu-tûng-yen	邵東県
Lai-phú-yen	茘浦県
Hâu-kông-khî	濠江区
Yòng-sân-yen	陽山県
Kông-mìn-sîn-khî	光明新区
IPhone 3GS	IPhone 3GS
IPhone 4	IPhone 4
IPhone 3G	IPhone 3G
Alan Dawa Dolma	Alan
Tûng-Chìn	東晋
Mâ-lòi-sî-â Hòng-khûng	マレーシア航空
Lì-tshu̍k	リー族
Chûng-sî-khî (Hiông-kóng)	中西区 (香港)
Mí-nâ-hien-vòng	メナヘム
Â-ha̍p-chhia-vòng (Yî-set-lie̍t)	アハズヤ (イスラエル王)
Â-ha̍p-chhia-vòng (Yù-thai)	アハズヤ (ユダ王)
Yok-làn-vòng (Yù-thai)	ヨラム (ユダ王)
Â-sat-li-ngâ	ウジヤ
Yâ-lò-pô-ôn yit-sṳ	ヤロブアム1世
Am-li-vòng	オムリ
Nâ-tap-vòng	ナダブ (イスラエル王)
Pâ-sâ-vòng	バシャ
Yâ-fu-vòng	イエフ
Yok-sî-â-vòng	ヨシヤ
Yok-â-sṳ̂-vòng (Yù-thai)	ヨアシュ (ユダ王)
Sîm-li-vòng	ジムリ
Yâ-lò-pô-ôn ngi-sṳ	ヤロブアム2世
Yî-vi-mí-lò-tha̍t	アメル・マルドゥク
Â-mâ-chhia-vòng	アマツヤ
Yî-sṳ̂-pô-sat-vòng	イシュ・ボシェテ
N̂g Chok-tùng	ゴー・チョクトン
Â-sat-vòng	アサ (ユダ王)
Â-mùn-vòng	アモン (ユダ王)
Chong Koet-yùng（Chong Fat-chûng）	レスリー・チャン
Lí Tên-Fî	李登輝
Yî-lâ-vòng	エラ (イスラエル王)
Yok-ngâ-kin-vòng	エホヤキム (ユダ王)
Hò-se-â-vòng	ホセア (イスラエル王)
Yok-ngâ-kîn-vòng	エホヤキン
Chhî Chai-Phit	徐載弼
Puławy	プワヴィ
Chuk Hon	蜀漢
Chhâu Ngùi	魏 (三国)
Abitibi-Témiscamingue	アビティビ・テミスカマング地域
Mò-tóng-sit	無所属
Iwakuni-sṳ	岩国市
Soi-ha-tshu̍k	サイシャット族
Phok Hièn-yún	朴憲永
Sat-kâ-li-ngâ-vòng	ゼカリヤ (イスラエル王)
Yok-ha̍p-sṳ̂-vòng	ヨアハズ (イスラエル王)
Fùng Siù-chhiòn	洪秀全
Yok-â-sṳ̂-vòng (Yî-set-lie̍t)	ヨアシュ (イスラエル王)
Yok-làn-vòng (Yî-set-lie̍t)	ヨラム (イスラエル王)
Pí-kâ-vòng	ペカ
Sâ-liùng-vòng	シャルム (イスラエル王)
Pí-kâ-hot-vòng	ペカフヤ
Khiu Sṳ̀n-thûng	シン＝トゥン・ヤウ
Fùng Puk-kím Kiê	キンケイ
Sat-lâ-tshu̍k	サラール族
Yok-ha̍p-sṳ-vòng	ヨアハズ (ユダ王)
Sîn-tiam-khî	新店区
Łapy	ワピ
Chhiâng-pa̍k-kông-khî	青白江区
Mî-yî-mî-fi	メソジスト監督教会
瑤族	ヤオ族
Thú-sàng-khî	土城区
Sîn-chông-khî	新荘区
Hagi-sṳ	萩市
Wong Hi-zi	王羲之
Meu-nàm-khî	茂南区
Chûng-chhiû-chiet	月見
Nài-lî-kak-li-sâ-ngì	ネルガル・シャレゼル
Fùng-theu	アズキ
Łuków	ウクフ
Pô-sṳ̂ Ti-koet	アケメネス朝
Nagato-sṳ	長門市
Sî-lìm-yen	西林県
Mâ-thai-fuk-yîm	マタイによる福音書
Sṳ̍p-sṳ-ka	十字架
Â-chû Hòng-khûng X	エアアジア X
Â-chû Hòng-khûng	エアアジア
Yî-fut-só-sû	エフェソの信徒への手紙
Sòng-tet-sṳ	常徳市
Yit-yòng-sṳ	益陽市
Chhim-chû-sṳ	チン州市
Tshî Kông-khí	徐光啓
Sàng-khî (San-mî-sṳ)	城区
Súi-nèn-sṳ	遂寧市
Nui-kông-sṳ	内江市
Tha̍t-chû-sṳ	達州市
Ngá-ôn-sṳ	雅安市
10000	10000
Fú-kûa	ツルレイシ
Fún-fùng-set	ピンク
Nâ-sat-le̍t	ナザレ
Thòi-vân kâu-thûng	台湾の交通
Yî-tshu̍k	イ族
Mî-koet Kûng-lî-fi Chhâ-fi	アメリカン・ボード
Â-thâ-li-ngâ	アタルヤ
Augustów	アウグストゥフ
Windsor, Berkshire	ウィンザー (イングランド)
Kô Khô-kî	ハイテク
Hí Chṳ̂n-shuk	許貞淑
Tai Tet-sâng	ハドソン・テーラー
Hòn Hòn	韓寒
Pet-kóng-tsṳ́n	北港鎮
Tczew	トチェフ
Hâ-nì-tshu̍k	ハニ族
Thòi-nàm-yen	台南県
Fù-chṳ-mìn-sṳ Kî-chhòng	タンソンニャット国際空港
Hien-thoi Accent	ヒュンダイ・アクセント
Hien-thoi Sonata	ヒュンダイ・ソナタ
Hien-thoi Elantra	ヒュンダイ・エラントラ
Hien-thoi Equus	ヒュンダイ・エクウス
Vû-tsṳ-phe̍t-khiet-chhu̍k	ウズベク
