Africa	アフリカ
Grignum	グリーニョ
Discrimen oeconomicum	恐慌
Grumesium	グルーメス
Pylorus	幽門
Imerium	イメール
2751 Campbell	キャンベル (小惑星)
Iseria	イゼーラ
7205 Sadanori	定矩 (小惑星)
Udo Lattek	ウド・ラテック
No Line on the Horizon	ノー・ライン・オン・ザ・ホライゾン
Ivetta Cooper	イヴェット・クーパー
Ivanum et Fracena	イヴァーノ＝フラチェーナ
Humbertus Nobile	ウンベルト・ノビレ
Anna Fontaine	アンヌ・フォンテーヌ
Wolf 359	ウォルフ359
Alienora Arnezeder	ノラ・アルネゼデール
Silvia Kinigi	シルヴィ・キニギ
Ernesta Solberg	エルナ・ソルベルグ
Lasinum	ラジーノ
Avisium (Tridentinum-Alta Athesia/Tirolis Meridionalis)	ラヴィース
Leudrum	レードロ
Insulae Lero et Lerina	レランス諸島
Im Suziong	イム・スジョン (女優)
Altenstadt (Oberbayern)	アルテンシュタット
Óbuda	オーブダ
Cascabellus (caseus)	カチョカヴァッロ
Sanctius II	サンチョ2世
NTV	NTV
MMM	MMM
Draco (discretiva)	ドラコ (曖昧さ回避)
Anscharius Romero	オスカル・ロメロ
Al-Kamil Muhammad	アル＝カーミル
Al-Jahiz	ジャーヒズ
Aglaia (discretiva)	アグラヤ
Apl.de.ap	アップル・デ・アップ
Georgius Moustaki	ジョルジュ・ムスタキ
Oedipus Coloneus (Sophocles)	コロノスのオイディプス
Georgius Gheorghiu-Dej	ゲオルゲ・ゲオルギュ＝デジ
Editorium (discretiva)	エディター
Iacobus Benignus Bossuet	ジャック＝ベニーニュ・ボシュエ
Michael Psellus	ミカエル・プセルロス
Lea Salonga	レア・サロンガ
Nagasacium	長崎
Guido de Leziniaco	ギー・ド・リュジニャン
Dirk Kuyt	ディルク・カイト
Henricus Granados	エンリケ・グラナドス
Damianus Hirst	ダミアン・ハースト
Emmanuel Iosephus Sieyès	エマニュエル＝ジョゼフ・シエイエス
Brett Emerton	ブレット・エマートン
Alexander (imperator Constantinopolitanus)	アレクサンドロス (東ローマ皇帝)
Humbertus de Alencar Castello Branco	ウンベルト・デ・アレンカール・カステロ・ブランコ
Thomas Cromwell	トマス・クロムウェル
Caloioannes (rex Bulgariae)	カロヤン・アセン
Petrus Finch	ピーター・フィンチ
Marius Draghi	マリオ・ドラギ
Mladen Petrić	ムラデン・ペトリッチ
Neil Diamond	ニール・ダイアモンド
Ioannes Christophorus Stevens	クリストファー・スティーブンス
Ioannes XXIII (antipapa)	ヨハネス23世 (対立教皇)
Martinus Landau	マーティン・ランドー
Ioannes Stuart	ジョン・ステュアート (第3代ビュート伯)
Carolus Grey	チャールズ・グレイ (第2代グレイ伯爵)
Robertus III (rex Scotiae)	ロバート3世 (スコットランド王)
Aricium	アリッツォ
Levicum	レーヴィコ・テルメ
Azara	アッツァーラ
Forum Augusti	アウスティス
Belvinum	ベルヴィ
Robertus Donadoni	ロベルト・ドナドーニ
Biroris	ビーロリ
Bithis	ビッティ
Lisignacum	リジニャーゴ
Václav Svěrkoš	ヴァーツラフ・スヴェルコシュ
Bolothana	ボロータナ
Borores	ボーロレ
Bortigalis	ボルティガーリ
Desulum	デーズロ
Narses	ナルセス
Dorgalis	ドルガーリ
Öhringen	エーリンゲン
Urania	ウラニア
Dualchis	ドゥアルキ
Aulus Gellius	アウルス・ゲッリウス
Gadonis	ガドーニ
Livum (Tridentinum-Alta Athesia/Tirolis Meridionalis)	リーヴォ (トレント県)
Galtellinum	ガルテッリ
Humbertus Giordano	ウンベルト・ジョルダーノ
Gavois	ガヴォーイ
Alexander Ioannes Cuza	アレクサンドル・ヨアン・クザ
Irgolis	イルゴリ
Polycrates Samius	ポリュクラテス
Decimus Iunius Brutus Albinus	デキムス・ユニウス・ブルトゥス・アルビヌス
Marcus Furius Camillus	マルクス・フリウス・カミルス
Demetrius Torbinski	ドミートリー・トルビンスキー
Armandus Teixeira	アルマンド・テイシェイラ
Iacobus Randi	ジェームズ・ランディ
Athenaeus (Naucratites)	アテナイオス
Antiochus VII Sidetes	アンティオコス7世
Mahometus Ould Abdel Aziz	ムハンマド・ウルド・アブデルアズィーズ
Ognjen Vukojević	オグニェン・ヴコイェヴィッチ
Ferdinandus de la Rúa	フェルナンド・デ・ラ・ルア
Manuel Pinto da Costa	マヌエル・ピント・ダ・コスタ
Maluscum	マロスコ
Leo Gambetta	レオン・ガンベタ
Claudius Lelouch	クロード・ルルーシュ
Maletum (Tridentinum-Alta Athesia/Tirolis Meridionalis)	マレ (イタリア)
Gasto Thorn	ガストン・トルン
Childericus III	キルデリク3世
Onoda Hiro	小野田寛郎
Lien (Italia)	レーイ
Theudericus III	テウデリク3世
Daniel (dux Moscoviae)	ダニール・アレクサンドロヴィチ
Loculis	ロークリ
Rosen Plevneliev	ロセン・プレヴネリエフ
Lodina	ロディーネ
Sextus Pompeius	セクストゥス・ポンペイウス
Lodehes	ロデ
Lulla	ルーラ (イタリア)
Macopsisa	マコメール
Michael Piccoli	ミシェル・ピコリ
Mamoiata	マモイアーダ
Alphonsus VIII (rex Castellae)	アルフォンソ8世 (カスティーリャ王)
Mediana (Sardinia)	メアーナ・サルド
Noracucuma	ノラグーグメ
Mazzinum	マッツィーン
Jefferson Farfán	ジェフェルソン・ファルファン
Oliana	オリエーナ
Ludovicus Michael Brito Garcia Monteiro	ミゲル・モンテイロ
Ollolais	オッロラーイ
Jaromír Jágr	ヤロミール・ヤーガー
Olzais	オルツァーイ
Onaninum	オナニ
Mediana (Italia)	メッツァーナ
Unifais	オニファーイ
Univeris	オニフェーリ
Carolus Szymanowski	カロル・シマノフスキ
Oranis	オラーニ
Orgosulum	オルゴーゾロ
Mart Poom	マルト・ポーム
Medianum (Italia)	メッツァーノ
Piyush Jindal	ボビー・ジンダル
Laurentius (antipapa)	ラウレンティウス (対立教皇)
Camillus Flammarion	カミーユ・フラマリオン
Fanum Orisi	オロゼーイ
Orotellis	オロテッリ
Andreas Chénier	アンドレ・シェニエ
Ortueris	オルトゥエーリ
Osidda	オジッダ
Ioannes Tigana	ジャン・ティガナ
Metateutonica	メッツォコローナ
Othana	オッターナ
Ovodda	オヴォッダ
Sarules	サルーレ
Alexander Baricco	アレッサンドロ・バリッコ
Leonellus Barrymore	ライオネル・バリモア
Silanus	シラーヌス
Metalongobardica	メッツォロンバルド
Sindia	シンディーア
Sinischola	シニスコーラ
Sorganum	ソルゴノ
Tetis	テーティ
Thiana	ティーアナ
David Hunter Hubel	デイヴィッド・ヒューベル
Tonara	トナーラ
Howard Robertus Horvitz	ロバート・ホロビッツ
Albanum (discretiva)	アルバーノ
Georgius Snell	ジョージ・スネル
Ishtar	イシュタル (曖昧さ回避)
Gulielmus Vickrey	ウィリアム・ヴィックリー
Cale	ケール (曖昧さ回避)
Torpehes	トルペ
Ebola	エボラ
Michael Stuart Brown	マイケル・ブラウン (遺伝学者)
Fonnis	フォンニ
Haroldus Elliot Varmus	ハロルド・ヴァーマス
Sune Carolus Bergström	スネ・ベリストローム
Daniel Nathans	ダニエル・ネイサンズ
Vernon Lomax Smith	バーノン・スミス
Ioannes Galecki	ジョニー・ガレッキ
Laurentius Klein	ローレンス・クライン
Benedictus Ingemar Samuelsson	ベンクト・サミュエルソン
Nicolaus Podgornyj	ニコライ・ポドゴルヌイ
Mulvenum	モルヴェーノ
Paulus Claudel	ポール・クローデル
Stadium Australiae	スタジアム・オーストラリア
Victor Baía	ビトール・バイーア
Mons Classicus	モンクラッシコ
Ignatius Jones	イニゴー・ジョーンズ
Ioannes Philippus Sousa	ジョン・フィリップ・スーザ
Randolphus Scott	ランドルフ・スコット
Robbie Coltrane	ロビー・コルトレーン
Iacobus LaBrie	ジェイムズ・ラブリエ
Montaneae	モンターニェ
Iulius Grévy	ジュール・グレヴィ
Alexander López	リサンドロ・ロペス
Vicentius Rodríguez	ビセンテ・ロドリゲス
Inguarus Semšov	イーゴリ・セムショフ
Murium	モーリ
Andreas Svensson	アンデシュ・スヴェンソン
Mauritius Isla	マウリシオ・イスラ
Chinedu Obasi	チネドゥ・オバシ・オグブケ
Parmenio	パルメニオン
Victorius Alfieri	ヴィットーリオ・アルフィエーリ
Nacus-Turbulae	ナーゴ＝トルボレ
Philippinus Lippi	フィリッピーノ・リッピ
Petrus Aretinus	ピエトロ・アレティーノ
Silvius Piola	シルヴィオ・ピオラ
Blasius Antonius Gazzara	ベン・ギャザラ
Aravind Adiga	アラヴィンド・アディガ
David Wenham	デビッド・ウェナム
Jussi Jääskeläinen	ユッシ・ヤースケライネン
Michael Debré	ミシェル・ドブレ
Naunum	ナンノ
Bessus	ベッソス
Hanno Navigator	航海者ハンノ
Carolus Columbus II	カーリー・コロン
Blake Clark	ブレイク・クラーク
Vladimirus Zvorykin	ウラジミール・ツヴォルキン
Ioannes Paisley	イアン・ペイズリー
Navium	ナーヴェ・サン・ロッコ
Alexander Darling	アリスター・ダーリング
Radulphus Lauren	ラルフ・ローレン
Sanctius III Garciae filius (rex Pampilonensium)	サンチョ3世 (ナバラ王)
Michael de la Madrid Hurtado	ミゲル・デ・ラ・マドリ・ウルタード
Constantinus Gabras	コスタ＝ガヴラス
Lazarus Cárdenas del Río	ラサロ・カルデナス
Carolus Ruiz Zafón	カルロス・ルイス・サフォン
Abdul Kader Keïta	アブドゥル・カデル・ケイタ
Kim Peek	キム・ピーク
Dino De Laurentiis	ディノ・デ・ラウレンティス
Franciscus Molnár	モルナール・フェレンツ
Iacobus Ibert	ジャック・イベール
Andreas Lincoln	アンドリュー・リンカーン
Balduinus IV (rex Hierosolymitanus)	ボードゥアン4世
Mausolus	マウソロス
Ferdinandus I (rex Castellae)	フェルナンド1世 (カスティーリャ王)
Numium	ノーミ
Barry Gibb	バリー・ギブ
Mauritius Gibb	モーリス・ギブ
Antonius Smetona	アンターナス・スメトナ
Novaletum	ノヴァレード
Hospitalectum (Tridentinum-Alta Athesia/Tirolis Meridionalis)	オスペダレット
Demetrius Bikelas	ディミトリオス・ヴィケラス
Ölgii	ウルギー
Simeon (magnus dux Moscoviae)	セミョーン (モスクワ大公)
Sirhan Sirhan	サーハン・ベシャラ・サーハン
Georgius Gordon Meade	ジョージ・ミード
David Clayton Henrie	デヴィッド・ヘンリー
Vulsana	オッサーナ
Gaius Sempronius Gracchus	ガイウス・グラックス
Ioannes Giolitti	ジョヴァンニ・ジョリッティ
Padernionum	パデルニョーネ
Paludium (Provincia Libera Tridentina)	パルー・デル・フェルシーナ
Gulielmus Bateson	ウィリアム・ベイトソン
Gulielmus Henricus Seward	ウィリアム・スワード
Harena bituminosa	オイルサンド
Nicetas Choniates	ニケタス・コニアテス
Eumenes Cardianus	カルディアのエウメネス
Sextus Iulius Frontinus	セクストゥス・ユリウス・フロンティヌス
Roscellinus Compendiensis	コンピエーニュのロスケリヌス
Antonius Makarenko	アントン・マカレンコ
Ferdinandus I Medices	フェルディナンド1世・デ・メディチ
Saloninus (imperator)	プブリウス・リキニウス・コルネリウス・サロニヌス
Leopoldus Stokowski	レオポルド・ストコフスキー
Andronicus	アンドロニク
Albus Rivus	パンキア
Elsa	エルザ
Erbach (Badenia-Virtembergia)	エアバッハ
Adam Savage	アダム・サヴェッジ
Saionji Kinmochi	西園寺公望
Yamagata Aritomo	山縣有朋
Kakuei Tanaka	田中角栄
Diodotus Tryphon	ディオドトス・トリュフォン
Hassan Gouled Aptidon	ハッサン・グレド・アプティドン
Hippolytus Taine	イポリット・テーヌ
Eugenius Evtušenko	エフゲニー・エフトゥシェンコ
Asimo	ASIMO
Dioscorides	ペダニウス・ディオスコリデス
Appius Claudius Caecus	アッピウス・クラウディウス・カエクス
Victorius Emanuel Orlando	ヴィットーリオ・エマヌエーレ・オルランド
Franciscus Tombalbaye	フランソワ・トンバルバイ
Iosephus de Ribera	ホセ・デ・リベーラ
Peium	ペーイオ
Calor (discretiva)	HEAT
Pons Oresundianus	オーレスン・リンク
Osvaldus (nomen)	オズワルド
Alexius Tolstoj (discretiva)	アレクセイ・トルストイ
Cyrus Minor	小キュロス
Adria (discretiva)	アドリア
Davíd Oddsson	ダビッド・オッドソン
Lesja Ukrajinka	レーシャ・ウクライーンカ
Adolfus Bioy Casares	アドルフォ・ビオイ＝カサーレス
Iulianus Gracq	ジュリアン・グラック
Hippodamus	ミレトスのヒッポダモス
Papyrus	パピルス (曖昧さ回避)
Ernestus Zedillo Ponce de León	エルネスト・セディージョ
Gaius Iulius Caesar Vipsanianus	ガイウス・カエサル
Lucius Aemilius Paullus Macedonicus	ルキウス・アエミリウス・パウルス・マケドニクス
Rogerius Guerreiro	ロジェール・ゲレイロ
Simona Veil	シモーヌ・ヴェイユ (政治家)
Benedictus Arnold	ベネディクト・アーノルド
Pelucum	ペルーゴ
Michael Sheen	マイケル・シーン
Parthenope (discretiva)	パルテノペ
Eunomia	エウノミア
Thomas Keneally	トマス・キニーリー
Raimundus Kurzweil	レイ・カーツワイル
Nicolaus Hoult	ニコラス・ホルト
Petrus Bérégovoy	ピエール・ベレゴヴォワ
Gaius Iulius Hyginus	ガイウス・ユリウス・ヒュギーヌス
Iacobus Sverdlov	ヤーコフ・スヴェルドロフ
Natalis Coward	ノエル・カワード
Tahmasp I	タフマースブ1世
Bradley Manning	チェルシー・マニング
Perginum	ペルジーネ・ヴァルスガーナ
Gökhan Inler	ギョクハン・インレル
Gulielmus Kvist	ウィリアム・クヴィスト
David Rozehnal	ダヴィド・ロゼフナル
Renatus Krhin	レネ・クルヒン
Aristides Pereira	アリスティデス・ペレイラ
Georgius Habash	ジョージ・ハバシュ
Cyrillus Hierosolymitanus	エルサレムのキュリロス
Robertus Bellarminus	ロベルト・ベラルミーノ
Dr. Seuss	ドクター・スース
E. E. Cummings	E・E・カミングス
Plebs Tesina	ピエーヴェ・テジーノ
Calvi (discretiva)	カルヴィ
Ahmadou Ahidjo	アマドゥ・アヒジョ
Ioannes Zorn	ジョン・ゾーン
Plebs de Bono	ピエーヴェ・ディ・ボーノ
Ursinus	ウルシヌス (対立教皇)
Iacobus Carrillo	サンティアゴ・カリーリョ
Gasto Leroux	ガストン・ルルー
Florianus Lauriacensis	フロリアヌス (聖人)
Alcman	アルクマン
Iulianus Medices	ジュリアーノ・デ・メディチ
Philippus II (dux Burgundiae)	フィリップ2世 (ブルゴーニュ公)
Balduinus I (imperator)	ボードゥアン1世 (ラテン皇帝)
Ioannes (dux Burgundiae)	ジャン1世 (ブルゴーニュ公)
Claudius Berri	クロード・ベリ
Patricius McGoohan	パトリック・マクグーハン
Eduardus Drinker Cope	エドワード・ドリンカー・コープ
Wouter Weylandt	ワウテル・ウェイラント
Gulielmus Rufus DeVane King	ウィリアム・キング
Ioannes Nance Garner	ジョン・N・ガーナー
Levi Parsons Morton	リーヴァイ・モートン
Thomas Riley Marshall	トーマス・R・マーシャル
Soterius Nines	ソティリス・ニニス
Zalman Shazar	ザルマン・シャザール
Galfridus Hanneman	ジェフ・ハンネマン
Pintiolum	ピンツォーロ
Hayato Ikeda	池田勇人
Aemilius Constantinescu	エミル・コンスタンティネスク
Victorianus Huerta	ビクトリアーノ・ウエルタ
Michael Sata	マイケル・サタ
Ate	アテ
Sonny Rollins	ソニー・ロリンズ
Avidius Cassius	ガイウス・アウィディウス・カッシウス
Simon Helberg	サイモン・ヘルバーク
Michael Gough	マイケル・ガフ
Petrus MacNicol	ピーター・マクニコル
Demetrius Sychev	ドミートリー・シチョフ
Andreas I (rex Hungariae)	アンドラーシュ1世
Felix II	フェリクス2世 (対立教皇)
Basilius Bessario	ヨハンネス・ベッサリオン
Wilson Palacios	ウィルソン・パラシオス
Miroslav Stoch	ミロスラフ・ストッフ
Ioannes Polak	ヤン・ポラーク
Derek Boateng	デレク・ボアテング
Matheus Iacobus Brisson	マチュラン・ジャック・ブリソン
Radoslav Kováč	ラドスラフ・コヴァーチ
Caietanus Scirea	ガエターノ・シレア
Leo M’ba	レオン・ムバ
Pippinus (rex Italiae)	ピピン (イタリア王)
Petrus Cosimi Medices	ピエロ・ディ・コジモ・デ・メディチ
Ludovicus Vierne	ルイ・ヴィエルヌ
Franciscus I Medices	フランチェスコ1世・デ・メディチ
Bartholomaeus Rastrelli	バルトロメオ・ラストレッリ
Djalma Santos	ジャウマ・サントス
Thomas Hübschman	トマーシュ・ヒューブシュマン
Othniel Carolus Marsh	オスニエル・チャールズ・マーシュ
Thomas Sivok	トマーシュ・シヴォク
Pomarolum	ポマローロ
Pozza	ポッツァ・ディ・ファッサ
Prasium	プラーゾ
Pralatium	プレダッツォ
Prevorium	プレオーレ
Pretium (Italia)	プレッツォ
Rabbium	ラッビ
A Dramatic Turn of Events	ア・ドラマティック・ターン・オブ・イベンツ
Raguli	ラーゴリ
Revodium	レヴォ
A posteriori	アポステリオリ
A Vindication of the Rights of Woman	女性の権利の擁護
Agnio	アー川
Aaahh!!! Real Monsters	ぎゃあ!!!リアル・モンスターズ
Conventus Aquisgrani	アーヘン会議 (1818年)
Romalum	ロマッロ
Romenum	ロメーノ
Roncenum	ロンチェーニョ・テルメ
Runchi	ロンキ・ヴァルスガーナ
Ronconum Iudicariarum	ロンコーネ
Clanisium et Rontium	ロンツォ＝キエーニス
Ronzonum	ロンツォーネ
Roboretum Lunae	ロヴェレー・デッラ・ルーナ
Northern Exposure	たどりつけばアラスカ
Ruffredum	ルッフレ＝メンドラ
Henricus Rodakowski	ヘンリク・ロダコフスキ
Rumum	ルーモ
Samonum (Tridentinum-Alta Athesia/Tirolis Meridionalis)	サモーネ (トレント県)
Bostrychia hagedash	ハダダトキ
Fanum Sancti Laurentii in Banalum	サン・ロレンツォ・イン・バナーレ
Shigeru Yoshida	吉田茂
Fanum Sancti Michaelis ad Athesim	サン・ミケーレ・アッラーディジェ
Salve Regina	サルヴェ・レジーナ
Fanum Sanctae Ursulae (Italia)	サントルソラ・テルメ
Hardin Comitatus (Tennesia)	ハーディン郡 (テネシー州)
Bestia (Marvel)	ビースト (X-メン)
1958 Chandra	チャンドラ (小惑星)
Ioannes Duncan Smith	イアン・ダンカン・スミス
The Mission	ミッション (映画)
Mandolinum	マンドリン
Heraclea Pontica	ヘラクレア・ポンティカ
3138 Ciney	シネイ (小惑星)
Catholic Encyclopedia	カトリック百科事典
Aaron Rodgers	アーロン・ロジャース
Gulielmus Cabrera Infante	ギリェルモ・カブレラ＝インファンテ
2626 Belnika	ベルニカ (小惑星)
Salina in Aeni Valle	ハル・イン・チロル
Aaron Swartz	アーロン・スワーツ
Lincoln Comitatus (Oregonia)	リンカーン郡 (オレゴン州)
Factio popularis Bavarica	バイエルン人民党
5140 Kida	木田 (小惑星)
Fibula	腓骨
Ngugi wa Thiong’o	グギ・ワ・ジオンゴ
Sidonius Apollinaris	シドニウス・アポリナリス
American Reunion	アメリカン・パイパイパイ!完結編 俺たちの同騒会
Henricus de la Tour d'Auvergne, Vicecomes Turennae	テュレンヌ子爵アンリ・ド・ラ・トゥール・ドーヴェルニュ
Fanum Sancti Sisinii	サンゼーノ
Hermaphrodita	雌雄同体
Sherman Comitatus (Oregonia)	シャーマン郡 (オレゴン州)
Sesomires	スモワ川
Sarnonicum	サルノーニコ
Factio socialistica Helvetica	スイス社会民主党
Nepeta	イヌハッカ属
Coccum (baca)	クリムゾン
2305 King	キング (小惑星)
Scurellae	スクレッレ
Ioshua Daniel Hartnett	ジョシュ・ハートネット
Bibliotheca Nationalis Austriaca	オーストリア国立図書館
Seguntianum	セゴンツァーノ
Etheldreda Tautou	オドレイ・トトゥ
Rugrats	ラグラッツ
Sfrutium	スフルツ
Five Little Pigs	五匹の子豚
5941 Valencia	バレンシア (小惑星)
5430 Luu	ルー (小惑星)
Edmundus de Langeleia (dux Eboracensis)	エドムンド・オブ・ラングリー (初代ヨーク公)
Decemviri legibus scribundis	十人委員会
Ice Age (pellicula)	アイス・エイジ (映画)
Sibrorium	シロール
Smaranum	ズマラーノ
Abass Bonfoh	ボンフォー・アッバス
Sorraga	ソラーガ
Soverium	ソヴェール
Armen Firman	アッバース・イブン・フィルナス
Aqua Sancta (Sardinia)	アッバザンタ
Spera	スペーラ
Plebs Randenae	スピアッツォ
Silvacana	シルヴァカンヌ修道院
Toronetum (abbatia)	ル・トロネ修道院
EMac	EMac
Iacobus Franco	ジェームズ・フランコ
Spaurum Maius	スポルマッジョーレ
Abbas Petrus	アベ・ピエール
Margarita de Parma	マルゲリータ・ダウストリア (パルマ公妃)
Abd al-Fattāḥ al-Sīsī	アブドルファッターフ・アッ＝シーシー
Abdelkader Ghezzal	アブデル・カデル・ゲザル
Abdikassim Salat Hassan	アブディカシム・サラ・ハッサン
Abdirashid Ali Shermarke	アブディラシッド・アリー・シェルマルケ
Abdoulaye Diagne-Faye	アブドゥライ・ファイ
Midas	ミダース
Ministerium Saeptorum Nationalium (Civitates Foederatae)	アメリカ合衆国国立公園局
Nazgûl	指輪の幽鬼
Théoden	セオデン
Cochlea (animal)	カタツムリ
Quadi	クァディ族
Victoria (dea)	ウィクトーリア
A Tale of Two Cities	二都物語
Universitas Studii Salmanticensis	サラマンカ大学
Decubitus	褥瘡
Daemon (Informatica)	デーモン (ソフトウェア)
Boston Legal	ボストン・リーガル
Pilum	ピルム
Ferrivia metropolitana Hispalis	セビリア・メトロ
Tibesti	ティベスティ山地
Corriere della Sera	コリエーレ・デラ・セラ
Gnetophyta	グネツム綱
Optimates	オプティマテス
Kwajalein	クェゼリン環礁
Diarios de motocicleta	モーターサイクル・ダイアリーズ
Dies Mortuorum	死者の日 (メキシコ)
Alpes Maritimae (provincia Romana)	アルペス・マリティマエ
Quantitas	量
Mansa Musa	マンサ・ムーサ
Ryutaro Hashimoto	橋本龍太郎
Museum Historiae Naturalis (Britannia)	ロンドン自然史博物館
Clostridium tetani	破傷風菌
Crocodylus	クロコダイル属
Maximus Choupo-Moting	エリック・マキシム・シュポ＝モティング
Petrus Cushing	ピーター・カッシング
Ferdinandus III Tusciae	フェルディナンド3世 (トスカーナ大公)
Eduardus Furlong	エドワード・ファーロング
Lucius Quinctius Cincinnatus	ルキウス・クィンクティウス・キンキナトゥス
Beau Bridges	ボー・ブリッジス
Sebastianus Eguren	セバスティアン・エグレン
Carolus Dance	チャールズ・ダンス
Thomas Arne	トマス・アーン
Rolandus Joffé	ローランド・ジョフィ
Ludovicus Augustus Blanqui	ルイ・オーギュスト・ブランキ
Eduardus Lear	エドワード・リア
Athenagoras Atheniensis	アテネのアテナゴラス
Aemilius Salgari	エミリオ・サルガーリ
Attalus III	アッタロス3世
Ricimer	リキメル
Iosephus Maria de Maistre	ジョゼフ・ド・メーストル
Ioannes Ludovicus Barrault	ジャン＝ルイ・バロー
Horatius Walpole	ホレス・ウォルポール
Thomas Malory	トマス・マロリー
Childericus II	キルデリク2世
Petrus Sagan	ペーター・サガン
Franciscus Schleck	フランク・シュレク
Chlodovechus II	クロヴィス2世
Chlotarius III	クロタール3世
Guido Spoletensis (imperator)	グイード・ダ・スポレート
Chlodovechus IV	クロヴィス4世
Ioannes Robertus Vane	ジョン・ベーン
Eduardus Fox	エドワード・フォックス
Institutum Technologiae Carolsruhense	カールスルーエ大学
Tyrone Power	タイロン・パワー
Theodorus Rousseau	テオドール・ルソー
Alanus Hutton	アラン・ハットン
Petrus Mandelson	ピーター・マンデルソン
Don DeLillo	ドン・デリーロ
Ioannes (rex Scotiae)	ジョン・ベイリャル (スコットランド王)
Domitius Ulpianus	ドミティウス・ウルピアーヌス
Simon VI de Monteforti	シモン・ド・モンフォール
Christophorus Isherwood	クリストファー・イシャーウッド
Ianius Quadros	ジャニオ・クアドロス
Tomiichi Murayama	村山富市
Carolus Aurelianensis	シャルル・ド・ヴァロワ (オルレアン公)
Gulielmus Bryson	ビル・ブライソン
Ammonius Saccas	アンモニオス・サッカス
Tuncay Şanlı	トゥンジャイ・シャンル
Sidi Mahometus Ould Cheikh Abdallahi	シディ・モハメド・ウルド・シェイク・アブダライ
Gulielmus Henricus Pickering	ウィリアム・ヘンリー・ピッカリング
Sani Kaita	サニ・カイタ
Michael Cunningham	マイケル・カニンガム
Iacobus Ionas Cummings	ジム・カミングス
Aloisius Gonzaga	アロイシウス・ゴンザーガ
Ioannes Sloane	ハンス・スローン
Benedictus XIII (antipapa)	ベネディクトゥス13世 (対立教皇)
Kunal Nayyar	クナル・ネイヤー
Alanus Alda	アラン・アルダ
Unus negativus	−1
Geraldus Milcolumbus Durrell	ジェラルド・ダレル
As-Saadi al-Gaddafi	アッ＝サーディー・アル＝カッザーフィー
Moises Arias	モイセス・アリアス
Sola scriptura	聖書のみ
Franciscus de Suppé	フランツ・フォン・スッペ
Carolus VIII (rex Sueciae)	カール8世 (スウェーデン王)
Ludovicus III (imperator)	ルイ3世 (プロヴァンス王)
Alexander Cabanel	アレクサンドル・カバネル
Georgius Fox	ジョージ・フォックス
Carlomannus (maior domus)	カールマン (アウストラシア宮宰)
Marcus Aurelius Marius	マルクス・アウレリウス・マリウス
Sungteius	順治帝
Georgius Robertus Gray	ジョージ・ロバート・グレイ
Acinetobacter	アシネトバクター
Fats Waller	ファッツ・ウォーラー
Georgius Herbertus Hitchings	ジョージ・ヒッチングス
Nullum crimen, nulla poena sine praevia lege poenali	法の不遡及
Volvox	ボルボックス
Bernardus Hill	バーナード・ヒル
Franciscus Xaverius Süßmayr	フランツ・クサーヴァー・ジュースマイヤー
Franciscus I Sfortia	フランチェスコ・スフォルツァ
Missa solemnis toni Si minoris (Bach)	ミサ曲 ロ短調
Quett Masire	クェット・マシーレ
Gamaliel	ガマリエル
Georgius Dumézil	ジョルジュ・デュメジル
Marcus Tullius Tanaka	田中マルクス闘莉王
Takayuki Morimoto	森本貴幸
Atsuto Uchida	内田篤人
Eiji Kawashima	川島永嗣
Glenn Beck	グレン・ベック
Tribonianus	トリボニアヌス
Georgius Szell	ジョージ・セル
Schaumburgum-Lippia	シャウムブルク＝リッペ侯国
Matthias Fernández	マティアス・フェルナンデス
Dickson Etuhu	ディクソン・エトゥフ
Rasmus Elm	ラスムス・エルム
Cheik Tioté	シェイク・ティオテ
Bacchylides	バッキュリデース
Dionysius Areopagita	アレオパゴスのディオニシオ
Nicolaus Piccinni	ニコロ・ピッチンニ
Michael Bastos	ミシェル・バストス
Brede Hangeland	ブレデ・ハンゲラン
Henricus Fantin-Latour	アンリ・ファンタン＝ラトゥール
Thomas Savery	トーマス・セイヴァリ
Gojko Kačar	ゴイコ・カチャル
Clemens Rodríguez	クレメンテ・ロドリゲス
Rogerius Boscovicius	ルジェル・ヨシプ・ボスコヴィッチ
David Bohm	デヴィッド・ボーム
Lazarus Carnot	ラザール・カルノー
Ioannes Claudius Duvalier	ジャン＝クロード・デュヴァリエ
Nicolaus Oresmius	ニコル・オレーム
Iacobus Ioseph Sylvester	ジェームス・ジョセフ・シルベスター
Ludovicus Ferrarius	ルドヴィコ・フェラーリ
Stephanus Wolfram	スティーブン・ウルフラム
Danny	ダニー・アルヴェス
Ioannes Marshall	ジョン・マーシャル
Iacobus Schoolcraft Sherman	ジェームズ・S・シャーマン
Gulielmus Almon Wheeler	ウィリアム・A・ウィーラー
Adli Ewing Stevenson I	アドレー・E・スティーブンソン
Garret Augustus Hobart	ギャレット・A・ホーバート
Thomas Andreas Hendricks	トーマス・A・ヘンドリックス
Ioannes Jay	ジョン・ジェイ
Georgius Mifflin Dallas	ジョージ・ダラス
Schuyler Colfax	スカイラー・コルファクス
David Dacko	ダヴィド・ダッコ
Marcellus Caetano	マルセロ・カエターノ
Kim Yong-il	金英逸
Andreas Kolingba	アンドレ・コリンバ
Hissène Habré	イッセン・ハブレ
Taxon monotypum	単型 (分類学)
Nicolaus Pirosmani	ニコ・ピロスマニ
Aëdes	ヤブカ
Thích Nhất Hạnh	ティク・ナット・ハン
Iamblichus	カルキスのイアンブリコス
